Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,86,86
SPC_MSWAP,4,89
SPC_NONE,3,88
TPC_MPAR,3,93
TPC_MSWAP,2,92
TPC_NONE,1,91
UC_MPAR,1,87
UC_MSWAP,0,92
UC_NONE,0,91
NONE_MPAR,0,93
NONE_MSWAP,0,92
NONE_NONE,0,92
