exec,generation,operator,is_pareto,is_selected,f0,f1,f2
7,1,SPC_MPAR,1,1,-0.5244465846038882,853092908.0,4386212.0
7,1,SPC_MSWAP,1,0,-0.5275433394941845,957989612.0,4348452.0
7,1,SPC_NONE,0,0,-0.5206719776732999,1406639532.0,7370404.0
7,1,TPC_MPAR,1,0,-0.5174772531392491,612544812.0,2367396.0
7,1,TPC_MSWAP,0,0,-0.5254031811796741,1370467820.0,4353060.0
7,1,TPC_NONE,1,0,-0.5211794285849078,274192620.0,3872292.0
7,1,UC_MPAR,0,0,-0.5196240896133099,2505655404.0,6802212.0
7,1,UC_MSWAP,1,0,-0.5235496767658009,1048782060.0,3530276.0
7,1,UC_NONE,1,0,-0.5244854744330162,1556041068.0,4127012.0
7,1,NONE_MPAR,0,0,-0.5206719776732999,2741281708.0,8673956.0
7,1,NONE_MSWAP,0,0,-0.5206719776732999,2741281708.0,8673956.0
7,1,NONE_NONE,0,0,-0.5206719776732999,2741281708.0,8673956.0
7,2,SPC_MPAR,0,0,-0.5244465846038882,853092908.0,4386212.0
7,2,SPC_MSWAP,0,0,-0.5286827919315894,1886579052.0,7772452.0
7,2,SPC_NONE,0,0,-0.5253462505331663,1650934572.0,3911588.0
7,2,TPC_MPAR,0,0,-0.5262104329907612,766986284.0,2828708.0
7,2,TPC_MSWAP,1,1,-0.5249695141191044,450279916.0,4502564.0
7,2,TPC_NONE,1,0,-0.5265772808112736,703832300.0,2362916.0
7,2,UC_MPAR,0,0,-0.5199877566565111,1697614316.0,5467172.0
7,2,UC_MSWAP,0,0,-0.5222196671973095,2694126956.0,5225764.0
7,2,UC_NONE,1,0,-0.5267237405973206,703939884.0,4947876.0
7,2,NONE_MPAR,0,0,-0.5206719776732999,2741281708.0,8673956.0
7,2,NONE_MSWAP,1,0,-0.5430560356462906,745319852.0,4089508.0
7,2,NONE_NONE,0,0,-0.5244465846038882,853092908.0,4386212.0
7,3,SPC_MPAR,1,1,-0.5233174322685168,540316972.0,2064292.0
7,3,SPC_MSWAP,0,0,-0.525771856376163,1212887020.0,4118564.0
7,3,SPC_NONE,0,0,-0.5259521968694892,2399817260.0,4160932.0
7,3,TPC_MPAR,1,0,-0.5473602172160426,2719182764.0,8866468.0
7,3,TPC_MSWAP,1,0,-0.546857289727598,1041040556.0,8051876.0
7,3,TPC_NONE,0,0,-0.5345790954915033,828759148.0,5883684.0
7,3,UC_MPAR,1,0,-0.5351955534144401,666412972.0,3631780.0
7,3,UC_MSWAP,0,0,-0.5288036726077741,2277558316.0,5579172.0
7,3,UC_NONE,0,0,-0.5295553202021668,3140441836.0,7364644.0
7,3,NONE_MPAR,0,0,-0.52547795728941,2857780908.0,9129124.0
7,3,NONE_MSWAP,1,0,-0.5249695141191044,450279916.0,4502564.0
7,3,NONE_NONE,1,0,-0.5249695141191044,450279916.0,4502564.0
7,4,SPC_MPAR,0,0,-0.5426765896640904,429977964.0,2566436.0
