Operator,Count
UC_MPOLY,4
TPC_MPOLY,9
SPC_NONE,12
SPC_MPOLY,29
TPC_MNUF,11
SPC_MNUF,14
UC_NONE,8
UC_MNUF,5
TPC_NONE,8
