Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,80,80
SPC_MSWAP,12,88
SPC_NONE,3,90
TPC_MPAR,1,85
TPC_MSWAP,3,90
TPC_NONE,0,86
UC_MPAR,0,81
UC_MSWAP,1,86
UC_NONE,0,85
NONE_MPAR,0,81
NONE_MSWAP,0,85
NONE_NONE,0,87
