exec,generation,operator,is_pareto,is_selected,f0,f1,f2
5,1,SPC_MPAR,0,0,-0.5146933821318945,1041239596.0,5236644.0
5,1,SPC_MSWAP,0,0,-0.5385402303691041,3930764268.0,9061924.0
5,1,SPC_NONE,0,0,-0.5384007451589335,2351851628.0,6633764.0
5,1,TPC_MPAR,1,1,-0.5153456677335867,1524798764.0,3131300.0
5,1,TPC_MSWAP,0,0,-0.5402381203598119,1292243180.0,6409252.0
5,1,TPC_NONE,1,0,-0.5402381203598119,1214652780.0,4903204.0
5,1,UC_MPAR,1,0,-0.5363999910067744,1014383468.0,4577572.0
5,1,UC_MSWAP,1,0,-0.5412735368012512,1821906412.0,6608932.0
5,1,UC_NONE,0,0,-0.5349530791826219,1135307116.0,5353252.0
5,1,NONE_MPAR,0,0,-0.5402381203598119,1220914668.0,5294628.0
5,1,NONE_MSWAP,1,0,-0.5402381203598119,1048499436.0,5085732.0
5,1,NONE_NONE,0,0,-0.5402381203598119,1220914668.0,5294628.0
5,2,SPC_MPAR,0,0,-0.5392966568111618,1405691500.0,5930276.0
5,2,SPC_MSWAP,0,0,-0.5384007451589335,1227025516.0,5300516.0
5,2,SPC_NONE,1,1,-0.5390725305983226,657184236.0,3857956.0
5,2,TPC_MPAR,0,0,-0.528842371922412,1882880108.0,6850340.0
5,2,TPC_MSWAP,0,0,-0.5336624748577905,1946139372.0,4939812.0
5,2,TPC_NONE,1,0,-0.5262286627486826,1123153644.0,3430436.0
5,2,UC_MPAR,0,0,-0.530708927338885,2697043884.0,4502180.0
5,2,UC_MSWAP,0,0,-0.5374941127593231,2253272236.0,5350564.0
5,2,UC_NONE,1,0,-0.514045182208961,1010097580.0,2597540.0
5,2,NONE_MPAR,1,0,-0.5402381203598119,1220914668.0,5294628.0
5,2,NONE_MSWAP,1,0,-0.5403071326611526,1426190828.0,5327396.0
5,2,NONE_NONE,1,0,-0.5402381203598119,1220914668.0,5294628.0
5,3,SPC_MPAR,0,0,-0.5384007451589335,1173039276.0,6034084.0
5,3,SPC_MSWAP,0,0,-0.5216937153073133,959715436.0,2936100.0
5,3,SPC_NONE,0,0,-0.5298182870067354,1057423212.0,3803940.0
5,3,TPC_MPAR,1,1,-0.5409238158076793,726924652.0,3675940.0
5,3,TPC_MSWAP,1,0,-0.5327047487874785,509139500.0,2617764.0
5,3,TPC_NONE,0,0,-0.5305042052940546,620685612.0,3742116.0
5,3,UC_MPAR,1,0,-0.5419327404896745,898890156.0,4024484.0
5,3,UC_MSWAP,0,0,-0.5332044376123586,1785544172.0,5495332.0
