Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,55,55
SPC_MSWAP,27,60
SPC_NONE,7,54
TPC_MPAR,4,47
TPC_MSWAP,3,58
TPC_NONE,2,56
UC_MPAR,0,53
UC_MSWAP,2,62
UC_NONE,0,57
NONE_MPAR,0,73
NONE_MSWAP,0,92
NONE_NONE,0,92
