counts,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SPC_MNUF,67,104,69,61,49,45,20,22,16
SPC_MPOLY,91,115,85,61,73,69,21,28,28
SPC_NONE,72,91,67,34,52,36,28,26,19
TPC_MNUF,59,63,49,45,61,31,20,19,14
TPC_MPOLY,54,65,56,51,59,38,26,23,19
TPC_NONE,42,58,39,46,40,31,18,22,16
UC_MNUF,19,29,24,21,15,21,9,7,9
UC_MPOLY,33,26,17,26,22,19,5,15,7
UC_NONE,22,21,19,16,17,21,5,9,3
