CROSS,SPC_MPAR,SPC_MSWAP,SPC_NONE,TPC_MPAR,TPC_MSWAP,TPC_NONE,UC_MPAR,UC_MSWAP,UC_NONE
SPC_MPAR,0.114504,0.122137,0.091603,0.206107,0.183206,0.076336,0.053435,0.076336,0.076336
SPC_MSWAP,0.113402,0.123711,0.092784,0.123711,0.103093,0.206186,0.103093,0.061856,0.072165
SPC_NONE,0.123288,0.178082,0.068493,0.150685,0.109589,0.109589,0.095890,0.068493,0.095890
TPC_MPAR,0.079137,0.100719,0.115108,0.165468,0.079137,0.158273,0.100719,0.100719,0.100719
TPC_MSWAP,0.118812,0.099010,0.099010,0.178218,0.138614,0.099010,0.099010,0.049505,0.118812
TPC_NONE,0.081818,0.163636,0.063636,0.154545,0.127273,0.072727,0.172727,0.090909,0.072727
UC_MPAR,0.141414,0.040404,0.060606,0.121212,0.111111,0.171717,0.131313,0.111111,0.111111
UC_MSWAP,0.200000,0.128571,0.071429,0.114286,0.085714,0.128571,0.114286,0.085714,0.071429
UC_NONE,0.112500,0.087500,0.087500,0.150000,0.125000,0.100000,0.175000,0.062500,0.100000
