State,Stationary_Probability
SPC_MNUF,0.179265
SPC_MPOLY,0.171639
TPC_MPOLY,0.132291
UC_MNUF,0.119645
TPC_MNUF,0.101766
UC_MPOLY,0.081980
TPC_NONE,0.071549
SPC_NONE,0.071241
UC_NONE,0.070624
SBX_MNUF,0.000000
SBX_MPOLY,0.000000
SBX_NONE,0.000000
