Operator,Count
UC_MNUF,8
NONE_MNUF,5
SBX_MNUF,9
SPC_MNUF,4
TPC_MNUF,4
NONE_MPOLY,6
SBX_NONE,6
SPC_MPOLY,6
UC_MPOLY,5
TPC_MPOLY,12
SBX_MPOLY,10
TPC_NONE,11
UC_NONE,6
SPC_NONE,8
