counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,2,2,4,4,0,7,6,0,7,2,0,11,1,0
NONE_MPOLY,0,7,9,45,3,2,23,1,2,21,1,2,22,0
SBX_MNUF,2,4,14,32,1,6,18,0,8,13,0,6,13,0
SBX_MPOLY,7,38,33,306,13,22,177,1,21,134,1,10,134,2
SBX_NONE,0,3,1,13,1,0,4,0,0,8,0,1,12,0
SPC_MNUF,4,1,8,29,1,10,11,1,6,12,1,4,6,0
SPC_MPOLY,1,23,14,167,8,10,128,1,5,101,1,9,99,3
SPC_NONE,0,0,0,3,0,0,3,0,0,0,0,0,1,0
TPC_MNUF,2,1,8,17,1,7,9,0,6,4,0,7,10,1
TPC_MPOLY,1,28,8,133,7,11,95,0,7,77,1,9,70,1
TPC_NONE,0,0,0,5,1,0,0,1,0,1,0,0,0,0
UC_MNUF,2,3,10,11,0,10,13,0,7,6,1,5,10,0
UC_MPOLY,2,28,12,143,6,8,84,2,2,75,2,9,69,0
UC_NONE,0,1,0,0,2,0,3,0,1,0,0,0,0,0
