GO_Name,Mean_Stationary_Probability
TPC_MNUF,0.131842
SPC_MNUF,0.264642
NONE_MNUF,0.104230
SBX_NONE,0.062276
UC_MNUF,0.080860
SBX_MNUF,0.089460
SPC_NONE,0.025094
NONE_MPOLY,0.059554
UC_MPOLY,0.025080
TPC_NONE,0.023088
SBX_MPOLY,0.025269
UC_NONE,0.021121
SPC_MPOLY,0.025806
TPC_MPOLY,0.061677
