Execution,Accuracy,FLOPs,Num_Params
1,0.7094837758867263,1611452416.0,5122084.0
2,0.711829290060026,5198710784.0,8370596.0
3,0.7045341377402666,1500885504.0,3120804.0
4,0.7071367099795398,1467566592.0,4917924.0
5,0.7129783843246849,1504586752.0,5664036.0
6,0.7082887769408496,1266632192.0,2772644.0
7,0.7074579041936859,1909527040.0,4568612.0
8,0.7162489076290725,2345613312.0,6384932.0
9,0.7125736123823566,3040497664.0,6144932.0
10,0.7077722597878756,990141952.0,3691556.0
11,0.7150256585620386,2335668224.0,5353252.0
12,0.7094262617228517,1301421568.0,5616548.0
13,0.7119090838957519,1541539840.0,6131108.0
14,0.7062255078842986,1031202304.0,4017828.0
15,0.7088568488710439,2073193984.0,4776100.0
16,0.7096472981097721,1306374144.0,8842276.0
17,0.711714578795926,1538762752.0,6264356.0
18,0.713605417240003,2102943232.0,5420580.0
19,0.7109183528122816,1160425472.0,3184164.0
20,0.7091128171346398,1526070272.0,5085476.0
21,0.7129041116222627,2597484544.0,6022692.0
22,0.708321988734601,1036605440.0,4023972.0
23,0.7091118959123066,2150261760.0,6660132.0
24,0.7113978538430678,2080977920.0,6360356.0
25,0.7118815957943374,1531525632.0,3846564.0
26,0.7174978621374198,1867591680.0,5846052.0
27,0.7089443221670376,1156554752.0,3496996.0
28,0.7054148913572531,1305484800.0,4329764.0
29,0.7093536663858039,2716756992.0,4889508.0
30,0.7134743412827286,2567236608.0,7483300.0
Mean,0.7104349371063505,1858789870.9333334,5280304.8
Std,0.003031851075767932,822591529.6742036,1452202.1174817781
