Execution,Accuracy,FLOPs,Num_Params
1,0.71063918291886,872116224.0,3524388.0
2,0.713978029733248,1443628544.0,5023780.0
3,0.7136046708921866,1290262528.0,4146084.0
4,0.7127599032693871,717338624.0,5645860.0
5,0.7094161838363559,938156032.0,2541732.0
6,0.7141246776045861,1227688960.0,5090852.0
7,0.7121167760449065,1256481280.0,2402468.0
8,0.7127324153433482,1278879232.0,5689124.0
9,0.7071501169826759,691313152.0,1961892.0
10,0.7135833871196164,850798080.0,4211236.0
11,0.7074443647352421,920825856.0,2858788.0
12,0.7224464551246597,1171566592.0,3764516.0
13,0.71102120463632,1384123904.0,2933924.0
14,0.7184400025387138,1442099200.0,4483364.0
15,0.7253146854691068,6017247232.0,7649444.0
16,0.7127028971897623,1594527232.0,3466532.0
17,0.7130122043618743,1275991040.0,3602212.0
18,0.7123652722198626,1827432448.0,5936548.0
19,0.7176526533344797,5187555328.0,9330852.0
20,0.7186655333101442,1158901760.0,3887140.0
21,0.7252501288745468,1578124288.0,7880484.0
22,0.7150959613174451,717943808.0,6273572.0
23,0.7171296385470075,1170916864.0,5426852.0
24,0.716130415565226,1455589888.0,4913700.0
25,0.7099815890245199,960474624.0,3758116.0
26,0.7180024667861159,2303230976.0,8218276.0
27,0.7159827906303521,4491415040.0,5286820.0
28,0.7153928323681259,1372434944.0,3878948.0
29,0.7119344271404443,878675968.0,3104292.0
30,0.7153456523190209,2044852224.0,4412580.0
Mean,0.714647217307938,1650686395.7333333,4710145.866666666
Std,0.004363795098310847,1264971361.9849606,1770679.952173773
