Execution,Accuracy,FLOPs,Num_Params
1,0.7124698422479783,1345946624.0,5594148.0
2,0.7111905432887334,1223071744.0,5828772.0
3,0.7154183326581769,3727025152.0,11394596.0
4,0.7169948555733531,1273974272.0,5141668.0
5,0.7080618621709006,986652672.0,4590372.0
6,0.7132584882944621,933649408.0,4446500.0
7,0.7062586875018676,678701568.0,2601508.0
8,0.7119653714970412,1213453824.0,3346212.0
9,0.711433705860786,1512486912.0,7061028.0
10,0.7094351346790303,2492108800.0,3147300.0
11,0.7110201585602438,967150592.0,4278308.0
12,0.7126796002445838,1637746176.0,4477860.0
13,0.7157347304417639,1249672192.0,5399204.0
14,0.7084487697480554,2232712192.0,4466084.0
15,0.711358625819423,1532744704.0,6875172.0
16,0.7117954381653295,2594023424.0,7539620.0
17,0.7113261709347074,1856814592.0,5557028.0
18,0.7092120964172545,2241974272.0,6700580.0
19,0.7033623685266585,2185577984.0,3550884.0
20,0.7177021863157823,2264558592.0,6393124.0
21,0.7149708775554297,3598362624.0,5905572.0
22,0.7109236299591163,2035923968.0,5402788.0
23,0.7129028758226796,1205725184.0,5761316.0
24,0.708856705137351,4686869504.0,4051236.0
25,0.7139510292749055,6240951296.0,7425188.0
26,0.7087385036526067,1156111360.0,5685668.0
27,0.712008905276708,1783762944.0,3616420.0
28,0.7112323745802575,3141540864.0,4378660.0
29,0.7100115705633465,1631364608.0,6048676.0
30,0.7121460752414616,1008728064.0,4067492.0
Mean,0.7114956505336666,2021312870.4,5357766.133333334
Std,0.003001708054521519,1206621040.9163609,1695910.5595924908
