Execution,Accuracy,FLOPs,Num_Params
1,0.709408890229253,1557530624.0,4148900.0
2,0.7040395171862223,1799417344.0,6343972.0
3,0.7068614086109258,2310274048.0,7850916.0
4,0.705848809149221,4903626752.0,6340260.0
5,0.7087428718321672,4774489600.0,8036900.0
6,0.7075070208303722,1201243136.0,5231012.0
7,0.7144499152155096,4025446400.0,8471972.0
8,0.70788479770911,1335361024.0,5381028.0
9,0.7033547005580048,1350332160.0,5453988.0
10,0.7064768994947832,2339396608.0,8759844.0
11,0.7092307187705621,1005110784.0,3602212.0
12,0.7089111893928156,2062247424.0,5129508.0
13,0.712769091972843,3356827648.0,5907492.0
14,0.7162276034841764,2174105600.0,5672996.0
15,0.7028947845871688,3547581952.0,4066340.0
16,0.7072631205195637,1447374336.0,4114468.0
17,0.7119144503366662,2252653568.0,6647204.0
18,0.7060270925548464,1613659136.0,3468452.0
19,0.7107383428848174,3358740480.0,6307492.0
20,0.7082370632398142,2974189568.0,7214116.0
21,0.7085177616466181,1287574528.0,6223012.0
22,0.7134436098773465,5449501696.0,10947236.0
23,0.7011105695661064,1841121280.0,5468324.0
24,0.7119140143721604,807998464.0,4021412.0
25,0.7093992280790483,1561158656.0,8321060.0
26,0.7102781442036924,1768248320.0,5690276.0
27,0.7108828703561657,2696617472.0,8045988.0
28,0.7111949111493284,3166618624.0,5418404.0
29,0.7056710745777448,2377005056.0,5114404.0
30,0.7067089618775002,1237140480.0,4861092.0
Mean,0.7085969811421516,2386086425.6,6075342.666666667
Std,0.0034196074451574147,1196547227.3526568,1724235.8190373946
