CROSS,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SBX_MNUF,0.206522,0.221014,0.112319,0.047101,0.202899,0.047101,0.032609,0.036232,0.025362,0.021739,0.014493,0.032609
SBX_MPOLY,0.194444,0.209877,0.111111,0.064815,0.188272,0.043210,0.033951,0.052469,0.037037,0.012346,0.018519,0.033951
SBX_NONE,0.165829,0.170854,0.100503,0.080402,0.206030,0.055276,0.040201,0.065327,0.030151,0.050251,0.020101,0.015075
SPC_MNUF,0.050955,0.066879,0.038217,0.136943,0.213376,0.162420,0.057325,0.085987,0.047771,0.054140,0.057325,0.028662
SPC_MPOLY,0.070661,0.095238,0.075269,0.113671,0.248848,0.098310,0.055300,0.059908,0.059908,0.046083,0.035330,0.041475
SPC_NONE,0.031034,0.062069,0.037931,0.141379,0.234483,0.127586,0.075862,0.072414,0.051724,0.075862,0.048276,0.041379
TPC_MNUF,0.063291,0.075949,0.031646,0.107595,0.189873,0.101266,0.031646,0.151899,0.063291,0.050633,0.088608,0.044304
TPC_MPOLY,0.060606,0.043290,0.034632,0.108225,0.203463,0.125541,0.082251,0.121212,0.060606,0.047619,0.069264,0.043290
TPC_NONE,0.039735,0.052980,0.046358,0.158940,0.271523,0.125828,0.039735,0.079470,0.066225,0.059603,0.039735,0.019868
UC_MNUF,0.044444,0.066667,0.059259,0.088889,0.222222,0.081481,0.066667,0.162963,0.044444,0.059259,0.044444,0.059259
UC_MPOLY,0.101562,0.054688,0.023438,0.085938,0.210938,0.101562,0.046875,0.117188,0.078125,0.062500,0.062500,0.054688
UC_NONE,0.053097,0.141593,0.097345,0.123894,0.203540,0.061947,0.061947,0.053097,0.044248,0.044248,0.070796,0.044248
