Operator,Count
SPC_MNUF,5
SBX_MNUF,2
UC_NONE,15
UC_MNUF,4
SBX_MPOLY,9
SPC_NONE,26
UC_MPOLY,5
TPC_NONE,11
SPC_MPOLY,14
TPC_MPOLY,3
SBX_NONE,3
NONE_MPOLY,1
TPC_MNUF,2
