State,Stationary_Probability
UC_NONE,0.272557
TPC_NONE,0.235666
UC_MPOLY,0.143382
SPC_MPOLY,0.092862
SPC_NONE,0.092418
TPC_MPOLY,0.052454
NONE_MPOLY,0.030610
SBX_MPOLY,0.029106
UC_MNUF,0.020510
SPC_MNUF,0.020341
TPC_MNUF,0.010095
NONE_MNUF,0.000000
SBX_MNUF,0.000000
SBX_NONE,0.000000
