Operator,Count
SPC_MNUF,6
SPC_MPOLY,13
TPC_MPOLY,10
UC_MPOLY,10
UC_NONE,14
TPC_NONE,13
SPC_NONE,18
SBX_MPOLY,10
UC_MNUF,2
NONE_MPOLY,2
SBX_MNUF,1
TPC_MNUF,1
