MUT,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SPC_MPOLY,TPC_MPOLY,UC_MPOLY
NONE_MNUF,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
NONE_MPOLY,0.000000,0.148148,0.000000,0.629630,0.111111,0.074074,0.037037
SBX_MNUF,0.000000,0.000000,0.466667,0.533333,0.000000,0.000000,0.000000
SBX_MPOLY,0.000000,0.005030,0.245473,0.738934,0.003521,0.003521,0.003521
SPC_MPOLY,0.000000,0.058824,0.000000,0.823529,0.117647,0.000000,0.000000
TPC_MPOLY,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
UC_MPOLY,0.000000,0.000000,0.000000,0.833333,0.000000,0.000000,0.166667
