Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,21,69
SPC_MSWAP,16,54
TPC_MPAR,14,54
TPC_MSWAP,11,52
UC_MPAR,19,57
UC_MSWAP,19,61
