counts,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SPC_MNUF,69,112,80,48,54,58,14,13,23
SPC_MPOLY,93,103,101,70,80,57,25,25,26
SPC_NONE,70,94,77,61,71,65,9,19,14
TPC_MNUF,61,66,52,51,50,41,12,20,14
TPC_MPOLY,64,71,68,46,33,42,16,17,11
TPC_NONE,48,84,45,45,42,39,14,15,19
UC_MNUF,17,13,23,14,13,13,4,5,2
UC_MPOLY,25,19,18,13,10,22,4,4,8
UC_NONE,20,18,19,19,16,14,7,6,7
