CROSS,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SPC_MNUF,0.146497,0.237792,0.169851,0.101911,0.114650,0.123142,0.029724,0.027601,0.048832
SPC_MPOLY,0.160345,0.177586,0.174138,0.120690,0.137931,0.098276,0.043103,0.043103,0.044828
SPC_NONE,0.145833,0.195833,0.160417,0.127083,0.147917,0.135417,0.018750,0.039583,0.029167
TPC_MNUF,0.166213,0.179837,0.141689,0.138965,0.136240,0.111717,0.032698,0.054496,0.038147
TPC_MPOLY,0.173913,0.192935,0.184783,0.125000,0.089674,0.114130,0.043478,0.046196,0.029891
TPC_NONE,0.136752,0.239316,0.128205,0.128205,0.119658,0.111111,0.039886,0.042735,0.054131
UC_MNUF,0.163462,0.125000,0.221154,0.134615,0.125000,0.125000,0.038462,0.048077,0.019231
UC_MPOLY,0.203252,0.154472,0.146341,0.105691,0.081301,0.178862,0.032520,0.032520,0.065041
UC_NONE,0.158730,0.142857,0.150794,0.150794,0.126984,0.111111,0.055556,0.047619,0.055556
