State,Stationary_Probability
SPC_MPOLY,0.232323
TPC_MPOLY,0.131313
SPC_MNUF,0.131313
TPC_MNUF,0.121212
TPC_NONE,0.101010
SPC_NONE,0.080808
UC_MNUF,0.060606
UC_MPOLY,0.060606
UC_NONE,0.060606
SBX_MPOLY,0.020202
SBX_MNUF,0.000000
SBX_NONE,0.000000
