Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,76,88
SPC_MSWAP,6,85
TPC_MPAR,7,82
TPC_MSWAP,2,84
UC_MPAR,4,84
UC_MSWAP,5,86
