State,Stationary_Probability
TPC_NONE,0.000008
UC_NONE,0.000007
SPC_NONE,0.000007
SBX_MPOLY,0.000001
TPC_MPOLY,0.000001
SPC_MPOLY,0.000001
UC_MPOLY,0.000001
TPC_MNUF,0.000000
SBX_NONE,0.000000
NONE_MNUF,0.000000
NONE_MPOLY,0.000000
SPC_MNUF,0.000000
UC_MNUF,0.000000
SBX_MNUF,0.000000
