Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV
1,1,SBX,MPOLY,0.6569030714121317,0.022138462576458098,1272781824.768,915505253.2273153,2643166.112,1418541.739175998,0.7079669650311686,0
1,2,SBX,MPOLY,0.6599270865445241,0.022776931745134846,967829142.784,703049491.0660123,2258481.184,1292998.5118744143,0.7119659927518824,0.00399902772071381
1,3,SBX,MPOLY,0.6582539284102519,0.026291388509637206,777757431.168,621449491.60747,1939279.52,1244563.0311783194,0.7190544768078795,0.007088484055997046
1,4,SBX,MPOLY,0.6596374157943963,0.026344138712223877,663004091.392,519641387.4211814,1795299.488,1172836.3168898183,0.7219610440916209,0.0029065672837413903
1,5,SBX,MPOLY,0.6630940884646686,0.025958117412828816,657119574.016,571271907.1032848,1816414.624,1296468.2045085141,0.7235611284667931,0.0016000843751722282
1,6,SBX,MPOLY,0.6631163482361869,0.029082280441899363,624446250.368,537058902.0962727,1775457.952,1326019.8180737174,0.726149705061029,0.0025885765942359473
1,7,SBX,MPOLY,0.6620834875045004,0.03008624522489057,537627936.0,507683022.43475604,1617742.624,1342158.0551950256,0.7276746090925484,0.0015249040315193918
1,8,SBX,MPOLY,0.6626315193146173,0.032235897772608615,530567828.224,534445377.1940808,1611456.032,1405849.3680532349,0.7302216283523604,0.0025470192598119334
1,9,SBX,MPOLY,0.6644727837077382,0.03252121854510486,534373919.616,565146391.3413323,1652010.144,1466485.3940701003,0.7319170418312512,0.0016954134788907949
1,10,SBX,MPOLY,0.6619110436350594,0.0373940871004175,526292682.112,619644088.8435427,1643838.752,1565162.783360651,0.7321561687805815,0.00023912694933037049
1,11,SBX,MPOLY,0.6582249609120893,0.04086326215316439,474744623.488,587337513.6041234,1505771.552,1531666.2843395707,0.7327956653292657,0.0006394965486841153
1,12,SBX,MPOLY,0.663791624781707,0.03377928073282834,489814626.432,623334458.5378202,1581169.312,1601573.1753393011,0.732936272163222,0.000140606833956336
1,13,SBX,MPOLY,0.6663866590014439,0.03348551714486505,508770052.864,651766164.3666342,1631826.848,1613486.1406443913,0.7334855317278328,0.0005492595646108267
1,14,SBX,MPOLY,0.6670548663889564,0.03433449904484851,532874787.328,709019984.9305699,1739659.552,1725397.4996048526,0.7335684595856988,8.292785786601087e-05
1,15,SBX,MPOLY,0.6635458640747038,0.037752531671441186,520266957.952,726662141.4505632,1596855.968,1677575.6163912648,0.733615441932975,4.6982347276181e-05
1,16,SBX,MPOLY,0.6562691573538024,0.04309193012024096,478633767.552,741067397.0880259,1384556.448,1637414.6314974667,0.7338782516875304,0.0002628097545553931
1,17,SBX,MPOLY,0.6472812455275904,0.049917937387082674,413945883.904,660862169.7660327,1190527.52,1477689.475116576,0.7341740638583999,0.00029581217086949163
1,18,SBX,MPOLY,0.6232454187086969,0.056537035794482667,354784129.792,665980877.3919007,928764.576,1468599.9170911585,0.7342251778320518,5.111397365187287e-05
1,19,SBX,MPOLY,0.5884568891690819,0.0483143074012677,208911748.48,437896126.6461147,452344.864,973966.5614045608,0.7342746216599625,4.944382791072233e-05
1,20,SBX,MPOLY,0.5815468635873424,0.04532628357205959,166792258.048,240183481.50024822,353393.312,689276.9242991202,0.7342891775891371,1.4555929174653315e-05
1,21,SBX,MPOLY,0.5805776350069093,0.046405506768008024,168386678.784,241091902.6585019,359190.816,693675.420242189,0.7343406476045257,5.1470015388521695e-05
