Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV
1,1,SBX,MNOUNIF,0.6569326629558714,0.024199559800478478,1676118963.2,1355518813.3441257,3167687.84,1776470.2629770006,0.6833610999377551,0
1,2,SBX,MNOUNIF,0.657438968517202,0.024612479701602068,1494370082.56,1399091508.998866,2876765.6,1937151.787995231,0.6889942050827084,0.005633105144953299
1,3,SBX,MNOUNIF,0.6568123560498715,0.026043829656020128,1155493290.24,1070362577.3222959,2511518.88,1649473.7886536375,0.7020241962278572,0.0130299911451488
1,4,SBX,MNOUNIF,0.6584006434108364,0.028760337525115774,1178137722.88,1053257528.0193219,2692513.44,1835662.9416904203,0.7067852585741539,0.004761062346296696
1,5,SBX,MNOUNIF,0.6615785170454227,0.027841382857300333,1212983708.16,1078343071.253904,2749246.88,1851740.424231265,0.7081658044239425,0.0013805458497886391
1,6,SBX,MNOUNIF,0.6607945864147712,0.029566488225145526,1175014645.76,1091788688.7574744,2785614.24,2005235.854266192,0.7086908078865211,0.0005250034625785549
1,7,SBX,MNOUNIF,0.657569942957206,0.031633964150829565,1016648824.32,1069577694.7487195,2540980.64,1913014.6141229316,0.7098004732806793,0.0011096653941582435
1,8,SBX,MNOUNIF,0.6570929467876014,0.02934340158596302,850166283.52,903242184.4770647,2277301.92,1673060.6266191292,0.7109451327933964,0.0011446595127171388
1,9,SBX,MNOUNIF,0.6552626450071055,0.028785547384771373,737670636.8,858272107.8254104,2025509.28,1560909.5133904847,0.7125714549420041,0.001626322148607695
1,10,SBX,MNOUNIF,0.655743707242612,0.026480778466604855,662014310.4,811469108.7807711,1864686.24,1415325.2757965508,0.7130118849115803,0.00044042996957616154
1,11,SBX,MNOUNIF,0.6539216049671164,0.02764536924562394,580709080.32,714612064.5164444,1760501.92,1296714.2730658257,0.7133565717444574,0.0003446868328771391
1,12,SBX,MNOUNIF,0.6538263639789196,0.027604324034267186,572535572.48,716625303.1364272,1724637.6,1265602.1980218585,0.7133574342286868,8.62484229369187e-07
1,13,SBX,MNOUNIF,0.6535380556952027,0.028317495885285433,579440829.44,735392426.4457387,1722730.4,1308289.8841665327,0.7133860374226649,2.8603193978127273e-05
1,14,SBX,MNOUNIF,0.6540843914461857,0.02858284244938728,582967617.28,737727932.8660346,1724103.84,1325023.2501770433,0.7133963550940873,1.0317671422344077e-05
1,15,SBX,MNOUNIF,0.6510468067200851,0.03154349866558158,570597141.76,741202712.8941612,1641467.04,1320871.6653726653,0.7145194217394932,0.0011230666454059568
1,16,SBX,MNOUNIF,0.6527309066548661,0.03063965264989737,595417849.6,767489389.344974,1644572.32,1327363.4936202432,0.7154726975347211,0.0009532757952278592
1,17,SBX,MNOUNIF,0.6542619114450422,0.028899399992523014,578109556.48,749631711.6026999,1638594.72,1294651.2640255063,0.7154805806581032,7.883123382068646e-06
1,18,SBX,MNOUNIF,0.6545408200572435,0.02888888311209987,578073291.52,749765907.6233299,1616070.56,1274991.5431178068,0.7154805806581032,0.0
1,19,SBX,MNOUNIF,0.6555808283167076,0.02916393706325901,599393043.2,763238116.1420716,1690272.16,1301433.6911873051,0.7155017767333852,2.1196075282059468e-05
1,20,SBX,MNOUNIF,0.6553245325835388,0.02910443388871051,570104586.24,757475485.9543797,1698674.08,1313964.3335010253,0.7155086149136695,6.838180284240991e-06
