Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,X,
1,4,SPC,NONE,0.667405479,0.022733753,849957739.5,669008337.3,2251492,1820592.341,0.704529421,0.012025373,,
1,4,TPC,MPOLY,0.6670191,0.021483622,835116801.3,615236514.8,2122402.72,1422535.001,0.7070848,0.016077953,,
1,4,TPC,MNOUNIF,0.664491553,0.022549624,992175663.4,820312007.1,2404984.48,1632495.699,0.702255926,0.00899863,,
1,4,TPC,NONE,0.668199652,0.020814561,879326144,691012976.4,2289278.88,1811264.18,0.703961491,0.021529298,,
1,4,UC,MPOLY,0.667085565,0.023419585,840014615,643407451.5,2280130.72,1665181.21,0.70611297,0.008303966,,
1,4,UC,MNOUNIF,0.664034516,0.022922891,1056844146,1012291012,2458547.36,1879586.477,0.698892253,0.007306591,,
1,4,UC,NONE,0.670275652,0.020623435,890700451.8,657059093.7,2363269.28,1682327.284,0.701479795,0.015577971,,
1,4,SBX,MPOLY,0.669510896,0.020055678,1002207981,707548890.9,2430046.88,1625089.745,0.708106164,0.009280611,,
1,4,SBX,MNOUNIF,0.667662743,0.02101769,1123489769,1056168817,2685735.84,1861679.735,0.707349534,0.010468494,,
1,4,SBX,NONE,0.669755136,0.021001683,1179473199,1199157180,2749895.84,2029823.549,0.700682037,0.017975595,,
1,4,NONE,MPOLY,0.666174205,0.022380425,987899119.4,896739649.1,2382556.32,1757850.092,0.701366111,0.018109072,,
1,4,NONE,MNOUNIF,0.666943718,0.019709451,1062996773,942791468.4,2518858.4,1666866.503,0.699829821,0.017016266,,
1,4,SBX,MPOLY,0.669510896,0.020055678,1002207981,707548890.9,2430046.88,1625089.745,0.708106164,0.009280611,"['SPC_MBFLIP', 'NONE_MNOUNIF', 'SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY']","{'NONE_MNOUNIF': 1, 'SBX_MPOLY': 2, 'UC_MPOLY': 1}"
1,5,SPC,MPOLY,0.672317462,0.020894591,951054680.3,692433227.2,2364225.44,1462988.116,0.709820602,0.00800936,,
1,5,SPC,MNOUNIF,0.668701379,0.022139225,990822266.9,712398225.5,2428125.6,1654531.353,0.708387445,0.000363781,,
1,5,SPC,NONE,0.672088642,0.022975362,913308352,742129903.9,2363557.28,1882295.07,0.713495381,0.00896596,,
