counts,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SBX_MNUF,57,61,31,13,56,13,9,10,7,6,4,9
SBX_MPOLY,63,68,36,21,61,14,11,17,12,4,6,11
SBX_NONE,33,34,20,16,41,11,8,13,6,10,4,3
SPC_MNUF,16,21,12,43,67,51,18,27,15,17,18,9
SPC_MPOLY,46,62,49,74,162,64,36,39,39,30,23,27
SPC_NONE,9,18,11,41,68,37,22,21,15,22,14,12
TPC_MNUF,10,12,5,17,30,16,5,24,10,8,14,7
TPC_MPOLY,14,10,8,25,47,29,19,28,14,11,16,10
TPC_NONE,6,8,7,24,41,19,6,12,10,9,6,3
UC_MNUF,6,9,8,12,30,11,9,22,6,8,6,8
UC_MPOLY,13,7,3,11,27,13,6,15,10,8,8,7
UC_NONE,6,16,11,14,23,7,7,6,5,5,8,5
