Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,86,86
SPC_MSWAP,7,86
SPC_NONE,2,81
TPC_MPAR,3,85
TPC_MSWAP,0,83
TPC_NONE,2,84
UC_MPAR,0,81
UC_MSWAP,0,87
UC_NONE,0,88
NONE_MPAR,0,88
NONE_MSWAP,0,90
NONE_NONE,0,90
