Operator,Count
SPC_MPOLY,16
SPC_NONE,10
TPC_NONE,4
SPC_MNUF,8
UC_MNUF,5
TPC_MPOLY,2
UC_MPOLY,1
UC_NONE,2
SBX_NONE,16
SBX_MPOLY,18
SBX_MNUF,17
TPC_MNUF,1
