GO_Name,Mean_Stationary_Probability
SPC_MPOLY,0.196995
SPC_NONE,0.146607
SPC_MNUF,0.149335
TPC_MNUF,0.118930
TPC_NONE,0.126954
TPC_MPOLY,0.135439
UC_MPOLY,0.039755
UC_NONE,0.047544
SBX_MNUF,0.000000
SBX_MPOLY,0.000000
SBX_NONE,0.000000
UC_MNUF,0.038441
