CROSS,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SPC_MNUF,0.136771,0.210762,0.134529,0.114350,0.100897,0.150224,0.049327,0.031390,0.071749
SPC_MPOLY,0.153713,0.193437,0.153713,0.119171,0.143351,0.113990,0.039724,0.048359,0.034542
SPC_NONE,0.119266,0.194954,0.139908,0.112385,0.167431,0.153670,0.045872,0.038991,0.027523
TPC_MNUF,0.191549,0.180282,0.138028,0.121127,0.123944,0.132394,0.016901,0.039437,0.056338
TPC_MPOLY,0.131841,0.213930,0.141791,0.141791,0.134328,0.119403,0.039801,0.037313,0.039801
TPC_NONE,0.174142,0.192612,0.150396,0.108179,0.153034,0.105541,0.031662,0.031662,0.052770
UC_MNUF,0.150442,0.203540,0.132743,0.097345,0.168142,0.115044,0.035398,0.053097,0.044248
UC_MPOLY,0.162393,0.179487,0.213675,0.128205,0.042735,0.153846,0.042735,0.017094,0.059829
UC_NONE,0.132867,0.181818,0.160839,0.118881,0.139860,0.083916,0.041958,0.069930,0.069930
