counts,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SPC_MNUF,61,94,60,51,45,67,22,14,32
SPC_MPOLY,89,112,89,69,83,66,23,28,20
SPC_NONE,52,85,61,49,73,67,20,17,12
TPC_MNUF,68,64,49,43,44,47,6,14,20
TPC_MPOLY,53,86,57,57,54,48,16,15,16
TPC_NONE,66,73,57,41,58,40,12,12,20
UC_MNUF,17,23,15,11,19,13,4,6,5
UC_MPOLY,19,21,25,15,5,18,5,2,7
UC_NONE,19,26,23,17,20,12,6,10,10
