Execution,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,0.25,0.5,0.0,3.0,0.0973333333333333,0.169,1.0,0.8165670135545277
2,0.125,0.25,0.0,0.0,0.1233333333333333,0.1911666666666666,0.9333333333333332,0.7951695378336188
3,0.125,0.375,0.125,0.0,0.108,0.161,0.7666666666666667,0.8203206636264646
4,0.375,0.25,0.0,0.0,0.1191666666666666,0.1625,0.6,0.8808029099840169
5,0.375,0.125,0.0,0.0,0.1235,0.1705,0.9333333333333332,0.8982496143252736
6,0.25,0.375,0.0,0.0,0.108,0.1685,0.6666666666666666,0.8631855662749214
7,0.0,0.0,0.125,0.0,0.1225,0.1295,0.7666666666666667,0.808670780090915
8,0.25,0.625,0.0,0.0,0.1171666666666666,0.1556666666666666,0.9666666666666668,0.7844491533090794
9,0.0,0.875,0.125,0.0,0.1081666666666666,0.1635,0.9333333333333332,0.8454951244131408
10,0.125,0.0,0.125,0.0,0.1233333333333333,0.1453333333333333,0.6666666666666666,0.7881327361476959
11,0.875,0.0,0.125,0.0,0.1158333333333333,0.1908333333333333,0.7333333333333333,0.8313838662671172
12,0.25,0.125,0.0,0.0,0.114,0.2001666666666666,0.6666666666666666,0.7809887079453757
13,0.25,0.25,0.0,0.0,0.1091666666666666,0.1728333333333333,0.7333333333333333,0.7658829108367704
14,0.0,0.625,0.25,0.0,0.1151666666666666,0.2406666666666666,0.7666666666666667,0.800911399908036
15,0.125,0.375,0.0,0.0,0.1298333333333333,0.1916666666666666,0.6666666666666666,0.7715189220610383
16,0.125,0.375,0.0,0.0,0.1115,0.2011666666666666,0.6333333333333333,0.7604606581380775
17,0.25,0.375,0.0,0.0,0.1108333333333333,0.1918333333333333,0.6,0.8539593720372284
18,0.375,0.25,0.0,0.0,0.1165,0.1618333333333333,0.6,0.8766282988677079
19,0.875,0.125,0.0,0.0,0.1136666666666666,0.1883333333333333,0.4333333333333333,0.8499255475729546
20,0.375,0.25,0.0,0.0,0.1088333333333333,0.1938333333333333,0.5333333333333333,0.8938676107382169
21,0.125,0.75,0.0,0.0,0.112,0.2111666666666666,0.6333333333333333,0.8422990499970238
22,0.125,0.625,0.125,0.0,0.1065,0.1843333333333333,0.7,0.850365841776642
23,0.875,0.125,0.0,0.0,0.1088333333333333,0.1786666666666666,0.6,0.8422358866714597
24,0.625,0.25,0.125,0.0,0.1111666666666666,0.2146666666666666,0.9666666666666668,0.8844250266407782
25,0.125,0.375,0.125,0.0,0.1095,0.1901666666666666,0.7666666666666667,0.9152122896058522
26,0.75,0.0,0.125,0.0,0.116,0.1463333333333333,0.8333333333333334,0.9089642902311112
27,0.25,0.5,0.125,0.0,0.1211666666666666,0.1641666666666666,0.5,0.9172029213048664
28,0.5,0.5,0.0,0.0,0.1031666666666666,0.1935,0.9333333333333332,0.8816756596395717
29,0.125,0.5,0.25,0.0,0.1165,0.1273333333333333,0.9333333333333332,0.8644911358906661
30,0.75,0.125,0.0,0.0,0.1166666666666666,0.1843333333333333,0.8,0.8211603140337984
Mean,0.32083333333333336,0.32916666666666666,0.058333333333333334,0.1,0.11391111111111109,0.17815,0.7422222222222222,0.8404867603241315
Std,0.265524899439247,0.22703554543042126,0.07728015412913086,0.5385164807134504,0.006798111575110718,0.02441039358172691,0.15176329847967887,0.04568341990660438
