Execution,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,0.125,0.125,0.0,0.0,0.2545,0.0988333333333333,0.9,
2,0.5,0.25,0.0,3.0,0.2475,0.1188333333333333,1.0,
3,0.375,0.25,0.0,0.0,0.2608333333333333,0.1061666666666666,0.9666666666666668,
4,0.125,0.375,0.0,0.0,0.259,0.0961666666666666,0.8333333333333334,
5,0.25,0.25,0.0,0.0,0.2551666666666666,0.09,0.8666666666666667,
6,0.375,0.375,0.0,0.0,0.2388333333333333,0.1231666666666666,0.9333333333333332,
7,0.125,0.25,0.0,0.0,0.2615,0.1031666666666666,0.9333333333333332,
8,0.125,0.375,0.0,0.0,0.2543333333333333,0.1151666666666666,0.7666666666666667,
9,0.375,0.25,0.0,1.0,0.2685,0.1005,1.0,
10,0.0,0.25,0.125,0.0,0.2525,0.1068333333333333,0.9333333333333332,
11,0.375,0.25,0.0,0.0,0.2538333333333333,0.134,0.9,
12,0.25,0.25,0.0,0.0,0.2538333333333333,0.1181666666666666,0.9333333333333332,
13,0.25,0.375,0.0,0.0,0.265,0.1176666666666666,0.7333333333333333,
14,0.375,0.25,0.0,0.0,0.2683333333333333,0.1068333333333333,0.7333333333333333,
15,0.25,0.25,0.0,0.0,0.2541666666666666,0.1206666666666666,0.9666666666666668,
16,0.5,0.375,0.125,0.0,0.254,0.1215,0.7,
17,0.375,0.125,0.0,0.0,0.269,0.1245,0.8333333333333334,
18,0.375,0.25,0.0,0.0,0.2423333333333333,0.0991666666666666,0.8333333333333334,
19,0.125,0.125,0.0,0.0,0.2458333333333333,0.1205,0.9333333333333332,
20,0.125,0.375,0.125,0.0,0.2531666666666666,0.0973333333333333,0.8666666666666667,
21,0.125,0.25,0.0,0.0,0.2648333333333333,0.1011666666666666,0.8333333333333334,
22,0.125,0.25,0.0,0.0,0.2518333333333333,0.101,0.9,
23,0.125,0.375,0.0,1.0,0.2425,0.1023333333333333,1.0,
24,0.375,0.375,0.0,0.0,0.2596666666666666,0.1108333333333333,0.6666666666666666,
25,0.5,0.25,0.0,0.0,0.271,0.113,0.9333333333333332,
26,0.375,0.25,0.0,0.0,0.2551666666666666,0.1143333333333333,0.8666666666666667,
27,0.375,0.375,0.0,0.0,0.2566666666666666,0.108,0.9666666666666668,
28,0.5,0.25,0.0,0.0,0.2468333333333333,0.1175,0.9666666666666668,
29,0.5,0.125,0.125,0.0,0.2748333333333333,0.0986666666666666,0.9666666666666668,
30,0.125,0.25,0.0,3.0,0.249,0.1108333333333333,1.0,
Mean,0.2833333333333333,0.2708333333333333,0.016666666666666666,0.26666666666666666,0.25615,0.10989444444444442,0.8888888888888891,
Std,0.14766704288891125,0.07960405489392834,0.04249182927993988,0.7717224601860151,0.008803550420143013,0.010242023394323832,0.09202790773710516,
