ID,Seed,Execution,Generation,GenCreation,isChild,isMutant,Integer_encoding,Binary_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,Was_invalid,arch_status,NFHT,Trained_Completely,Has_CM,Confusion_matrix,cm_accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,Ranking
BFQLER[M][M][M][M][M][M][M][M][M][M],,1,20,15,True,True,"[62, 34, 59, 38, 43, 7, 28, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",NONE,MPAR,GA,70,"[0.11410000175237656, 0.18209999799728394, 0.29980000853538513, 0.2994999885559082, 0.32179999351501465, 0.40939998626708984, 0.4185999929904938, 0.45680001378059387, 0.4726000130176544, 0.4410000145435333, 0.46939998865127563, 0.4964999854564667, 0.5562000274658203, 0.5328999757766724, 0.5260999798774719, 0.5651999711990356, 0.5328999757766724, 0.5221999883651733, 0.6049000024795532, 0.6086000204086304, 0.6209999918937683, 0.6309000253677368, 0.5751000046730042, 0.6227999925613403, 0.6273999810218811, 0.6208000183105469, 0.6470999717712402, 0.614300012588501, 0.6592000126838684, 0.6468999981880188, 0.6177999973297119, 0.6187000274658203, 0.6432999968528748, 0.6025999784469604, 0.6902999877929688, 0.6851999759674072, 0.6747999787330627, 0.6626999974250793, 0.6832000017166138, 0.6888999938964844, 0.7024000287055969, 0.6985999941825867, 0.6970000267028809, 0.692799985408783, 0.6990000009536743, 0.6973999738693237, 0.7092000246047974, 0.7099999785423279, 0.7037000060081482, 0.7031999826431274, 0.7092000246047974, 0.7084000110626221, 0.7085000276565552, 0.7080000042915344, 0.711899995803833, 0.710099995136261, 0.7129999995231628, 0.713699996471405, 0.7125999927520752, 0.7132999897003174, 0.713699996471405, 0.7135999798774719, 0.7153000235557556, 0.7145000100135803, 0.7146999835968018, 0.7164999842643738, 0.7149999737739563, 0.7135999798774719, 0.7159000039100647, 0.7160000205039978]","[4.220710754394531, 3.709643840789795, 3.077969551086426, 3.201875686645508, 3.1762452125549316, 2.79487943649292, 2.6855008602142334, 2.5413801670074463, 2.4895801544189453, 2.7128913402557373, 2.5528619289398193, 2.4717795848846436, 2.1814773082733154, 2.3172590732574463, 2.353647470474243, 2.2094972133636475, 2.335069179534912, 2.5162746906280518, 2.038339376449585, 2.0259885787963867, 1.900559425354004, 1.8928560018539429, 2.1761622428894043, 1.9036786556243896, 1.8809566497802734, 1.939552903175354, 1.8244777917861938, 1.9968189001083374, 1.7946650981903076, 1.8243077993392944, 2.048724889755249, 2.024962902069092, 1.9057855606079102, 2.1725850105285645, 1.695874810218811, 1.721513271331787, 1.7881863117218018, 1.8363978862762451, 1.7451088428497314, 1.7089183330535889, 1.6656785011291504, 1.6764130592346191, 1.706010341644287, 1.7314679622650146, 1.6997349262237549, 1.7548733949661255, 1.675489902496338, 1.6865586042404175, 1.7071126699447632, 1.7310194969177246, 1.6930603981018066, 1.7006508111953735, 1.696176528930664, 1.7217944860458374, 1.6854232549667358, 1.695495367050171, 1.6870187520980835, 1.6976829767227173, 1.690445065498352, 1.6864827871322632, 1.6985303163528442, 1.7024052143096924, 1.6930307149887085, 1.699157953262329, 1.7053602933883667, 1.6974904537200928, 1.7022289037704468, 1.709700584411621, 1.7068791389465332, 1.7013617753982544]",0.7160000205039978,,820663660,,5185828,,,,,"[62, 34, 59, 38, 42, 7, 28, 55]",0.0,0.0,0.125,0,60,0,400,0.0,0.15,False,BEST,1.0,True,True,"[[87  0  0 ...  0  0  0]
 [ 0 79  0 ...  0  0  0]
 [ 0  0 58 ...  0  4  0]
 ...
 [ 0  0  0 ... 74  0  0]
 [ 0  0  5 ...  0 50  0]
 [ 0  0  1 ...  0  0 73]]",0.716,0.728678427,0.716,0.716968746,7
BLOSJM[M][M][M][M],,2,20,8,True,True,"[10, 5, 45, 20, 34, 23, 63, 31]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",NONE,MPAR,GA,70,"[0.07460000365972519, 0.21819999814033508, 0.26170000433921814, 0.3100999891757965, 0.33219999074935913, 0.36910000443458557, 0.42899999022483826, 0.44839999079704285, 0.4131999909877777, 0.49079999327659607, 0.42309999465942383, 0.520799994468689, 0.4812000095844269, 0.5163000226020813, 0.5192000269889832, 0.5127999782562256, 0.5407000184059143, 0.5914999842643738, 0.5999000072479248, 0.5806999802589417, 0.5817999839782715, 0.6139000058174133, 0.609000027179718, 0.5934000015258789, 0.5570999979972839, 0.6029000282287598, 0.6154999732971191, 0.6154000163078308, 0.6396999955177307, 0.6189000010490417, 0.6330000162124634, 0.6050000190734863, 0.6140000224113464, 0.6294999718666077, 0.6425999999046326, 0.6248000264167786, 0.6272000074386597, 0.6237000226974487, 0.6186000108718872, 0.6219000220298767, 0.6674000024795532, 0.6818000078201294, 0.6621000170707703, 0.6721000075340271, 0.6700999736785889, 0.6711000204086304, 0.6564000248908997, 0.6758999824523926, 0.6775000095367432, 0.6819000244140625, 0.6819000244140625, 0.6836000084877014, 0.6930999755859375, 0.6924999952316284, 0.6899999976158142, 0.6919000148773193, 0.690500020980835, 0.6909000277519226, 0.6952000260353088, 0.6941999793052673, 0.7002999782562256, 0.6955000162124634, 0.6962000131607056, 0.6966999769210815, 0.698199987411499, 0.6985999941825867, 0.6976000070571899, 0.6952999830245972, 0.6988000273704529, 0.6972000002861023]","[4.368462085723877, 3.3043272495269775, 3.23313307762146, 2.9887208938598633, 3.017094612121582, 2.7999560832977295, 2.5159804821014404, 2.44319486618042, 2.7771666049957275, 2.296049118041992, 2.844472885131836, 2.1708922386169434, 2.420109748840332, 2.2278554439544678, 2.2643630504608154, 2.3074991703033447, 2.174391031265259, 1.9455572366714478, 1.9042680263519287, 1.9733154773712158, 2.050964832305908, 1.8713387250900269, 1.849124550819397, 1.9516023397445679, 2.2055978775024414, 1.939164400100708, 1.8182224035263062, 1.8817076683044434, 1.7838472127914429, 1.8760762214660645, 1.7802006006240845, 1.9650087356567383, 1.901026964187622, 1.8054174184799194, 1.7768707275390625, 1.9074119329452515, 1.8378119468688965, 1.9323718547821045, 1.8949675559997559, 1.9200026988983154, 1.7045947313308716, 1.656720519065857, 1.7638734579086304, 1.6837966442108154, 1.7370116710662842, 1.6708277463912964, 1.7795863151550293, 1.6840101480484009, 1.7099131345748901, 1.674988865852356, 1.695664882659912, 1.6857967376708984, 1.6554083824157715, 1.65120267868042, 1.678957462310791, 1.6930323839187622, 1.677738070487976, 1.6835523843765259, 1.6601275205612183, 1.6701831817626953, 1.6482951641082764, 1.664933204650879, 1.66922128200531, 1.6732802391052246, 1.6590551137924194, 1.6649482250213623, 1.6685916185379028, 1.6729381084442139, 1.6705589294433594, 1.6791330575942993]",0.6972000002861023,,340287852,,2827556,,,,,"[10, 5, 44, 20, 34, 22, 63, 31]",0.0,0.0,0.25,0,21,0,400,0.0,0.0525,False,BEST,0.9,True,True,"[[82  0  0 ...  0  0  0]
 [ 0 78  0 ...  0  0  0]
 [ 0  0 55 ...  0  2  0]
 ...
 [ 0  0  0 ... 69  1  0]
 [ 0  0  3 ...  0 55  0]
 [ 0  0  0 ...  0  0 71]]",0.6969,0.709137182,0.6969,0.697864375,47
BMXMJE[M][M][M],,3,20,3,True,True,"[14, 46, 23, 26, 12, 47, 7, 26]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",NONE,MPAR,GA,70,"[0.11659999936819077, 0.20190000534057617, 0.27630001306533813, 0.25839999318122864, 0.33239999413490295, 0.4146000146865845, 0.38839998841285706, 0.3700999915599823, 0.453900009393692, 0.38510000705718994, 0.5049999952316284, 0.48399999737739563, 0.4771000146865845, 0.5145000219345093, 0.5145999789237976, 0.5493000149726868, 0.4794999957084656, 0.5270000100135803, 0.5016000270843506, 0.5254999995231628, 0.5343000292778015, 0.6057999730110168, 0.6079000234603882, 0.5967000126838684, 0.6150000095367432, 0.6047000288963318, 0.6371999979019165, 0.6222000122070312, 0.6380000114440918, 0.6245999932289124, 0.6060000061988831, 0.5870000123977661, 0.6589999794960022, 0.6739000082015991, 0.6565999984741211, 0.6589000225067139, 0.656499981880188, 0.6646999716758728, 0.6647999882698059, 0.6796000003814697, 0.6741999983787537, 0.6732000112533569, 0.6820999979972839, 0.6723999977111816, 0.675000011920929, 0.6876999735832214, 0.6887000203132629, 0.6852999925613403, 0.6844000220298767, 0.6837999820709229, 0.6848999857902527, 0.682699978351593, 0.6890000104904175, 0.6883000135421753, 0.689300000667572, 0.6894000172615051, 0.6913999915122986, 0.6935999989509583, 0.6905999779701233, 0.6915000081062317, 0.6912999749183655, 0.6926000118255615, 0.6920999884605408, 0.6916000247001648, 0.6926000118255615, 0.6917999982833862, 0.6901000142097473, 0.6923999786376953, 0.6930000185966492, 0.692799985408783]","[3.9353668689727783, 3.524791717529297, 3.1474738121032715, 3.5844640731811523, 2.9731271266937256, 2.582270622253418, 2.701843738555908, 2.8972108364105225, 2.4257733821868896, 2.82523250579834, 2.2337851524353027, 2.3719077110290527, 2.361022472381592, 2.22995662689209, 2.2693679332733154, 2.0953080654144287, 2.4403088092803955, 2.172597885131836, 2.3804962635040283, 2.2454710006713867, 2.2314162254333496, 1.863767385482788, 1.8502864837646484, 1.9333328008651733, 1.868451714515686, 1.866847276687622, 1.7061578035354614, 1.8022853136062622, 1.7179484367370605, 1.7737390995025635, 1.8851476907730103, 2.0434553623199463, 1.6557176113128662, 1.571406364440918, 1.6407757997512817, 1.6453946828842163, 1.6697478294372559, 1.621366262435913, 1.624671220779419, 1.5359950065612793, 1.6119062900543213, 1.6108626127243042, 1.538840651512146, 1.6099473237991333, 1.579889178276062, 1.5268292427062988, 1.5290136337280273, 1.5689537525177002, 1.5502872467041016, 1.5621273517608643, 1.546229362487793, 1.5637295246124268, 1.5395656824111938, 1.554778814315796, 1.5446949005126953, 1.5532855987548828, 1.5393993854522705, 1.5389069318771362, 1.5495145320892334, 1.5421781539916992, 1.5435655117034912, 1.5486485958099365, 1.5547198057174683, 1.5475467443466187, 1.5455875396728516, 1.5493708848953247, 1.5464752912521362, 1.5486286878585815, 1.543412446975708, 1.5444397926330566]",0.692799985408783,,492056364,,1552292,,,,,"[14, 46, 23, 25, 12, 46, 7, 26]",0.0,0.0,0.25,0,28,0,400,0.0,0.07,False,BEST,0.95,True,True,"[[81  0  0 ...  0  0  0]
 [ 0 84  0 ...  0  0  0]
 [ 0  0 67 ...  0  3  0]
 ...
 [ 0  0  0 ... 73  0  0]
 [ 0  0  6 ...  0 52  0]
 [ 0  0  0 ...  0  0 69]]",0.6926,0.705015304,0.6926,0.692893451,43
BMGOLH[M][M],,4,20,5,True,True,"[14, 13, 31, 58, 9, 49, 28, 7]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [32, 5]}), ({'CONV': [256, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",NONE,MPAR,GA,70,"[0.13449999690055847, 0.21040000021457672, 0.26019999384880066, 0.3418000042438507, 0.35899999737739563, 0.4163999855518341, 0.4169999957084656, 0.4645000100135803, 0.45669999718666077, 0.4242999851703644, 0.5278000235557556, 0.489300012588501, 0.5353000164031982, 0.5049999952316284, 0.5177000164985657, 0.5382000207901001, 0.4950000047683716, 0.5582000017166138, 0.5688999891281128, 0.5659999847412109, 0.5616999864578247, 0.5354999899864197, 0.5181000232696533, 0.5625, 0.6212000250816345, 0.6420999765396118, 0.6424000263214111, 0.6126000285148621, 0.6338000297546387, 0.6288999915122986, 0.6222000122070312, 0.6471999883651733, 0.6348999738693237, 0.6389999985694885, 0.6238999962806702, 0.6444000005722046, 0.6021000146865845, 0.6858000159263611, 0.6722999811172485, 0.680899977684021, 0.6801999807357788, 0.6759999990463257, 0.6787999868392944, 0.6905999779701233, 0.7002000212669373, 0.6948999762535095, 0.6963000297546387, 0.6962000131607056, 0.6912000179290771, 0.6868000030517578, 0.6898999810218811, 0.6876999735832214, 0.7024000287055969, 0.6965000033378601, 0.6995000243186951, 0.705299973487854, 0.7062000036239624, 0.7035999894142151, 0.7027000188827515, 0.7035999894142151, 0.7078999876976013, 0.7064999938011169, 0.7067999839782715, 0.7081999778747559, 0.7049000263214111, 0.7081000208854675, 0.7057999968528748, 0.7050999999046326, 0.7059999704360962, 0.7063000202178955]","[4.079914093017578, 3.5783116817474365, 3.30969500541687, 2.933304786682129, 2.8638241291046143, 2.6196448802948, 2.6157219409942627, 2.4358468055725098, 2.458503007888794, 2.7804110050201416, 2.232914924621582, 2.4201772212982178, 2.185006856918335, 2.42261004447937, 2.331514835357666, 2.239039897918701, 2.5149612426757812, 2.1842105388641357, 2.13236927986145, 2.172950506210327, 2.2124645709991455, 2.4947290420532227, 2.4688777923583984, 2.245192766189575, 1.9638144969940186, 1.8612231016159058, 1.8058595657348633, 2.018261194229126, 1.8831936120986938, 1.8735780715942383, 1.9243329763412476, 1.8013906478881836, 1.8778095245361328, 1.8902076482772827, 2.0076611042022705, 1.8548310995101929, 2.121838331222534, 1.692913293838501, 1.7792913913726807, 1.7411736249923706, 1.7177152633666992, 1.7762038707733154, 1.760153889656067, 1.7204045057296753, 1.6895273923873901, 1.7233390808105469, 1.6874479055404663, 1.7266414165496826, 1.7275418043136597, 1.7776671648025513, 1.7418934106826782, 1.7906334400177002, 1.695462703704834, 1.7108300924301147, 1.7343207597732544, 1.7098265886306763, 1.7211486101150513, 1.7169458866119385, 1.7209604978561401, 1.7278575897216797, 1.7025660276412964, 1.7228946685791016, 1.7209135293960571, 1.7155449390411377, 1.7315683364868164, 1.7216441631317139, 1.7308732271194458, 1.72874116897583, 1.7266631126403809, 1.7321343421936035]",0.7063000202178955,,539914732,,5556260,,,,,"[14, 13, 31, 58, 8, 49, 28, 7]",0.0,0.0,0.125,0,27,0,400,0.0,0.0675,False,BEST,0.85,True,True,"[[87  0  0 ...  0  0  0]
 [ 0 79  0 ...  0  0  0]
 [ 0  0 61 ...  0  4  0]
 ...
 [ 0  0  0 ... 68  0  0]
 [ 0  0  2 ...  0 54  0]
 [ 0  0  1 ...  0  0 73]]",0.7063,0.718683619,0.7063,0.707569911,25
BLCBKQ[M][M][M][M][M][M][M][M][M][M],,5,20,19,True,True,"[52, 1, 23, 6, 39, 38, 27, 4]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",NONE,MPAR,GA,70,"[0.041999999433755875, 0.24560000002384186, 0.271699994802475, 0.31029999256134033, 0.40799999237060547, 0.4002000093460083, 0.446399986743927, 0.4652999937534332, 0.4244999885559082, 0.43880000710487366, 0.38999998569488525, 0.4334999918937683, 0.5236999988555908, 0.51419997215271, 0.5088000297546387, 0.5285000205039978, 0.522599995136261, 0.5569999814033508, 0.531000018119812, 0.521399974822998, 0.5174999833106995, 0.5519999861717224, 0.5471000075340271, 0.6241999864578247, 0.5820000171661377, 0.5891000032424927, 0.6304000020027161, 0.6068999767303467, 0.6531999707221985, 0.6431000232696533, 0.640500009059906, 0.6200000047683716, 0.6211000084877014, 0.6310999989509583, 0.6704000234603882, 0.6560999751091003, 0.6718000173568726, 0.6679999828338623, 0.6577000021934509, 0.6754000186920166, 0.6557999849319458, 0.6517999768257141, 0.6924999952316284, 0.6883000135421753, 0.6870999932289124, 0.6827999949455261, 0.6819999814033508, 0.6844000220298767, 0.6883999705314636, 0.6927000284194946, 0.6958000063896179, 0.6926000118255615, 0.6927000284194946, 0.695900022983551, 0.6912000179290771, 0.6901999711990356, 0.6988999843597412, 0.6984000205993652, 0.6991999745368958, 0.6983000040054321, 0.6970000267028809, 0.697700023651123, 0.6976000070571899, 0.6973999738693237, 0.6995000243186951, 0.6966000199317932, 0.6991000175476074, 0.7009000182151794, 0.7001000046730042, 0.699400007724762]","[5.103682994842529, 3.331712484359741, 3.2743706703186035, 3.16975474357605, 2.655571460723877, 2.7386794090270996, 2.479663133621216, 2.476196527481079, 2.7510251998901367, 2.6688268184661865, 3.0566959381103516, 2.7607181072235107, 2.2632155418395996, 2.329479217529297, 2.387237310409546, 2.2705812454223633, 2.3429386615753174, 2.1609714031219482, 2.302943468093872, 2.3365278244018555, 2.414285659790039, 2.224349021911621, 2.2789533138275146, 1.9212439060211182, 2.1910057067871094, 2.0707991123199463, 1.8512375354766846, 2.0036332607269287, 1.7568206787109375, 1.7790839672088623, 1.821065068244934, 1.9666216373443604, 1.9486494064331055, 1.8522355556488037, 1.7048605680465698, 1.8034123182296753, 1.6827027797698975, 1.7211732864379883, 1.766785979270935, 1.6992080211639404, 1.8264697790145874, 1.8110525608062744, 1.631605625152588, 1.6472554206848145, 1.6780712604522705, 1.698378562927246, 1.72554612159729, 1.6919591426849365, 1.6931216716766357, 1.6671748161315918, 1.665130615234375, 1.687679648399353, 1.703916072845459, 1.690752387046814, 1.6964316368103027, 1.7100725173950195, 1.6664632558822632, 1.6873414516448975, 1.6731435060501099, 1.6812554597854614, 1.6856269836425781, 1.6819294691085815, 1.7012882232666016, 1.6972334384918213, 1.6821115016937256, 1.697684407234192, 1.690407633781433, 1.6911872625350952, 1.6910792589187622, 1.6912282705307007]",0.699400007724762,,1390434860,,4812196,,,,,"[52, 0, 23, 6, 38, 38, 27, 4]",0.0,0.0,0.25,0,38,0,400,0.0,0.095,False,BEST,0.9,True,True,"[[82  0  0 ...  0  0  0]
 [ 0 80  0 ...  0  0  0]
 [ 0  0 56 ...  0  4  0]
 ...
 [ 0  0  0 ... 73  0  0]
 [ 0  0  1 ...  0 51  2]
 [ 0  0  0 ...  0  0 70]]",0.6995,0.712230894,0.6995,0.700246215,73
BVKOHR[M],,6,20,1,True,True,"[33, 28, 55, 3, 21, 52, 49, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",NONE,MPAR,GA,70,"[0.12430000305175781, 0.25690001249313354, 0.27869999408721924, 0.3833000063896179, 0.40119999647140503, 0.3991999924182892, 0.328900009393692, 0.4341000020503998, 0.44040000438690186, 0.44369998574256897, 0.517799973487854, 0.48669999837875366, 0.4973999857902527, 0.527999997138977, 0.534600019454956, 0.5198000073432922, 0.6104999780654907, 0.619700014591217, 0.6247000098228455, 0.6168000102043152, 0.6176000237464905, 0.6114000082015991, 0.6313999891281128, 0.6092000007629395, 0.6305999755859375, 0.588699996471405, 0.5914999842643738, 0.6427000164985657, 0.6516000032424927, 0.6233999729156494, 0.5920000076293945, 0.6151999831199646, 0.621399998664856, 0.6100999712944031, 0.6751000285148621, 0.6797000169754028, 0.6865000128746033, 0.6820999979972839, 0.6596999764442444, 0.682200014591217, 0.6705999970436096, 0.675599992275238, 0.697700023651123, 0.6985999941825867, 0.7038999795913696, 0.7057999968528748, 0.6953999996185303, 0.6909000277519226, 0.6980000138282776, 0.6998999714851379, 0.6952999830245972, 0.7084000110626221, 0.7095999717712402, 0.7139999866485596, 0.7070000171661377, 0.7131999731063843, 0.7139999866485596, 0.7103999853134155, 0.7121000289916992, 0.7121000289916992, 0.707099974155426, 0.7113999724388123, 0.7129999995231628, 0.7159000039100647, 0.718500018119812, 0.7148000001907349, 0.715399980545044, 0.7178000211715698, 0.7174999713897705, 0.7184000015258789]","[4.0347795486450195, 3.24574613571167, 3.214838981628418, 2.727555274963379, 2.732175827026367, 2.752774715423584, 3.214247703552246, 2.6474218368530273, 2.6971049308776855, 2.6623990535736084, 2.266606330871582, 2.5060067176818848, 2.3615543842315674, 2.3392765522003174, 2.2733700275421143, 2.380798578262329, 1.9377613067626953, 1.8472630977630615, 1.8367522954940796, 1.8561960458755493, 1.8663783073425293, 1.9537363052368164, 1.804603934288025, 1.9334359169006348, 1.8296165466308594, 2.0527255535125732, 2.0675864219665527, 1.801093578338623, 1.77449631690979, 1.9005059003829956, 2.0793089866638184, 1.9848560094833374, 1.941819190979004, 2.0530898571014404, 1.7145189046859741, 1.7442553043365479, 1.6812810897827148, 1.7126654386520386, 1.8078255653381348, 1.707903504371643, 1.7815779447555542, 1.736460566520691, 1.6847853660583496, 1.7152525186538696, 1.6710056066513062, 1.6532829999923706, 1.7181906700134277, 1.7729161977767944, 1.7477993965148926, 1.7510325908660889, 1.7276140451431274, 1.7087589502334595, 1.6926923990249634, 1.7094800472259521, 1.7312099933624268, 1.6872458457946777, 1.7131831645965576, 1.7388837337493896, 1.7400364875793457, 1.7448862791061401, 1.7760508060455322, 1.7442917823791504, 1.734559416770935, 1.7288252115249634, 1.7277443408966064, 1.7382142543792725, 1.7413396835327148, 1.7393618822097778, 1.7472196817398071, 1.7386146783828735]",0.7184000015258789,,733425068,,5964452,,,,,"[33, 28, 55, 3, 20, 51, 49, 22]",0.0,0.0,0.25,0,9,0,400,0.0,0.0225,False,BEST,0.95,True,True,"[[84  0  0 ...  0  0  0]
 [ 0 85  0 ...  0  0  0]
 [ 0  0 63 ...  0  2  0]
 ...
 [ 0  0  0 ... 71  0  0]
 [ 0  0  4 ...  0 48  0]
 [ 0  0  1 ...  0  0 73]]",0.7185,0.72723747,0.7185,0.718793671,2
