counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,14,3,18,1,13,21,5,2,22,5,2,16,3,4
NONE_MPOLY,5,9,5,15,33,5,8,4,5,7,2,8,9,3
SBX_MNUF,13,7,31,4,18,27,7,1,27,4,2,24,10,4
SBX_MPOLY,5,11,7,14,37,8,18,11,10,9,8,6,12,4
SBX_NONE,15,17,14,36,553,15,31,69,17,34,59,16,38,56
SPC_MNUF,8,8,28,12,18,30,5,2,28,12,6,30,9,2
SPC_MPOLY,4,15,8,18,19,13,22,4,4,14,4,11,9,3
SPC_NONE,0,7,1,10,69,6,7,17,3,2,8,1,6,17
TPC_MNUF,14,6,19,7,24,29,7,5,30,6,4,28,8,1
TPC_MPOLY,7,12,7,12,23,4,11,11,2,9,7,7,4,9
TPC_NONE,4,6,3,4,61,8,4,9,5,3,9,2,1,22
UC_MNUF,10,2,32,9,17,26,8,2,30,6,7,31,4,5
UC_MPOLY,4,13,3,9,27,3,16,3,3,14,10,6,10,5
UC_NONE,2,6,7,10,59,4,4,16,1,3,14,3,4,12
