GD,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.108527,0.023256,0.139535,0.007752,0.100775,0.162791,0.038760,0.015504,0.170543,0.038760,0.015504,0.124031,0.023256,0.031008
NONE_MPOLY,0.042373,0.076271,0.042373,0.127119,0.279661,0.042373,0.067797,0.033898,0.042373,0.059322,0.016949,0.067797,0.076271,0.025424
SBX_MNUF,0.072626,0.039106,0.173184,0.022346,0.100559,0.150838,0.039106,0.005587,0.150838,0.022346,0.011173,0.134078,0.055866,0.022346
SBX_MPOLY,0.031250,0.068750,0.043750,0.087500,0.231250,0.050000,0.112500,0.068750,0.062500,0.056250,0.050000,0.037500,0.075000,0.025000
SBX_NONE,0.015464,0.017526,0.014433,0.037113,0.570103,0.015464,0.031959,0.071134,0.017526,0.035052,0.060825,0.016495,0.039175,0.057732
SPC_MNUF,0.040404,0.040404,0.141414,0.060606,0.090909,0.151515,0.025253,0.010101,0.141414,0.060606,0.030303,0.151515,0.045455,0.010101
SPC_MPOLY,0.027027,0.101351,0.054054,0.121622,0.128378,0.087838,0.148649,0.027027,0.027027,0.094595,0.027027,0.074324,0.060811,0.020270
SPC_NONE,0.000000,0.045455,0.006494,0.064935,0.448052,0.038961,0.045455,0.110390,0.019481,0.012987,0.051948,0.006494,0.038961,0.110390
TPC_MNUF,0.074468,0.031915,0.101064,0.037234,0.127660,0.154255,0.037234,0.026596,0.159574,0.031915,0.021277,0.148936,0.042553,0.005319
TPC_MPOLY,0.056000,0.096000,0.056000,0.096000,0.184000,0.032000,0.088000,0.088000,0.016000,0.072000,0.056000,0.056000,0.032000,0.072000
TPC_NONE,0.028369,0.042553,0.021277,0.028369,0.432624,0.056738,0.028369,0.063830,0.035461,0.021277,0.063830,0.014184,0.007092,0.156028
UC_MNUF,0.052910,0.010582,0.169312,0.047619,0.089947,0.137566,0.042328,0.010582,0.158730,0.031746,0.037037,0.164021,0.021164,0.026455
UC_MPOLY,0.031746,0.103175,0.023810,0.071429,0.214286,0.023810,0.126984,0.023810,0.023810,0.111111,0.079365,0.047619,0.079365,0.039683
UC_NONE,0.013793,0.041379,0.048276,0.068966,0.406897,0.027586,0.027586,0.110345,0.006897,0.020690,0.096552,0.020690,0.027586,0.082759
