counts,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SPC_MNUF,71,84,88,63,59,62,23,24,15
SPC_MPOLY,105,111,77,51,71,54,22,22,22
SPC_NONE,70,91,73,50,59,49,19,18,18
TPC_MNUF,58,51,57,39,30,48,12,21,21
TPC_MPOLY,74,64,46,40,67,51,23,17,19
TPC_NONE,50,61,57,40,58,50,23,9,15
UC_MNUF,22,25,18,23,12,16,2,9,9
UC_MPOLY,19,24,19,12,25,11,6,6,7
UC_NONE,20,26,16,17,16,19,5,7,7
