Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,65,65
SPC_MSWAP,20,70
SPC_NONE,6,63
TPC_MPAR,4,61
TPC_MSWAP,2,64
TPC_NONE,0,59
UC_MPAR,2,64
UC_MSWAP,0,67
UC_NONE,1,63
NONE_MPAR,0,36
NONE_MSWAP,0,36
NONE_NONE,0,6
