Operator,Count
SPC_MPOLY,14
SBX_MPOLY,7
TPC_MPOLY,8
TPC_NONE,18
UC_NONE,23
SPC_NONE,14
UC_MPOLY,7
NONE_MPOLY,3
SBX_MNUF,2
UC_MNUF,1
SPC_MNUF,1
TPC_MNUF,2
