HV,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.000000,0.000000,0.000000,0.000000,0.000000,0.285714,0.071429,0.000000,0.000000,0.071429,0.071429,0.071429,0.000000,0.428571
NONE_MPOLY,0.000000,0.040816,0.000000,0.163265,0.000000,0.000000,0.102041,0.122449,0.000000,0.183673,0.163265,0.020408,0.020408,0.183673
SBX_MNUF,0.119048,0.000000,0.166667,0.119048,0.000000,0.023810,0.023810,0.047619,0.071429,0.047619,0.119048,0.071429,0.047619,0.142857
SBX_MPOLY,0.004405,0.022026,0.026432,0.132159,0.017621,0.008811,0.048458,0.149780,0.013216,0.066079,0.211454,0.004405,0.061674,0.233480
SBX_NONE,0.013333,0.013333,0.000000,0.093333,0.080000,0.013333,0.066667,0.133333,0.013333,0.053333,0.186667,0.000000,0.040000,0.293333
SPC_MNUF,0.020000,0.040000,0.040000,0.100000,0.000000,0.040000,0.040000,0.220000,0.080000,0.060000,0.140000,0.040000,0.020000,0.160000
SPC_MPOLY,0.000000,0.023622,0.007874,0.062992,0.007874,0.031496,0.039370,0.228346,0.007874,0.070866,0.173228,0.015748,0.062992,0.267717
SPC_NONE,0.000000,0.018484,0.012939,0.072089,0.038817,0.014787,0.040665,0.232902,0.014787,0.031423,0.219963,0.012939,0.040665,0.249538
TPC_MNUF,0.023810,0.000000,0.000000,0.071429,0.023810,0.095238,0.023810,0.119048,0.119048,0.023810,0.142857,0.119048,0.047619,0.190476
TPC_MPOLY,0.013072,0.013072,0.013072,0.137255,0.019608,0.006536,0.032680,0.163399,0.000000,0.078431,0.248366,0.013072,0.065359,0.196078
TPC_NONE,0.001466,0.013196,0.002933,0.055718,0.021994,0.007331,0.036657,0.189150,0.008798,0.043988,0.258065,0.011730,0.042522,0.306452
UC_MNUF,0.018868,0.037736,0.018868,0.018868,0.037736,0.037736,0.037736,0.094340,0.113208,0.094340,0.113208,0.075472,0.056604,0.245283
UC_MPOLY,0.000000,0.015625,0.015625,0.078125,0.015625,0.015625,0.046875,0.210938,0.015625,0.078125,0.226562,0.031250,0.039062,0.210938
UC_NONE,0.000000,0.015248,0.006353,0.063532,0.022872,0.013977,0.044473,0.167726,0.010165,0.044473,0.260483,0.015248,0.038119,0.297332
