counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0,0,0,0,0,4,1,0,0,1,1,1,0,6
NONE_MPOLY,0,2,0,8,0,0,5,6,0,9,8,1,1,9
SBX_MNUF,5,0,7,5,0,1,1,2,3,2,5,3,2,6
SBX_MPOLY,1,5,6,30,4,2,11,34,3,15,48,1,14,53
SBX_NONE,1,1,0,7,6,1,5,10,1,4,14,0,3,22
SPC_MNUF,1,2,2,5,0,2,2,11,4,3,7,2,1,8
SPC_MPOLY,0,3,1,8,1,4,5,29,1,9,22,2,8,34
SPC_NONE,0,10,7,39,21,8,22,126,8,17,119,7,22,135
TPC_MNUF,1,0,0,3,1,4,1,5,5,1,6,5,2,8
TPC_MPOLY,2,2,2,21,3,1,5,25,0,12,38,2,10,30
TPC_NONE,1,9,2,38,15,5,25,129,6,30,176,8,29,209
UC_MNUF,1,2,1,1,2,2,2,5,6,5,6,4,3,13
UC_MPOLY,0,2,2,10,2,2,6,27,2,10,29,4,5,27
UC_NONE,0,12,5,50,18,11,35,132,8,35,205,12,30,234
