HV,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.000000,0.071429,0.071429,0.071429,0.000000,0.071429,0.000000,0.142857,0.071429,0.071429,0.142857,0.142857,0.000000,0.142857
NONE_MPOLY,0.000000,0.015625,0.000000,0.125000,0.000000,0.015625,0.109375,0.109375,0.000000,0.156250,0.187500,0.015625,0.093750,0.171875
SBX_MNUF,0.000000,0.021277,0.063830,0.148936,0.021277,0.063830,0.042553,0.085106,0.085106,0.085106,0.148936,0.063830,0.127660,0.042553
SBX_MPOLY,0.010363,0.015544,0.020725,0.098446,0.010363,0.010363,0.119171,0.139896,0.025907,0.082902,0.145078,0.025907,0.119171,0.176166
SBX_NONE,0.000000,0.038462,0.000000,0.076923,0.038462,0.115385,0.115385,0.038462,0.000000,0.038462,0.153846,0.076923,0.115385,0.192308
SPC_MNUF,0.055556,0.018519,0.018519,0.037037,0.018519,0.074074,0.074074,0.111111,0.074074,0.037037,0.148148,0.074074,0.092593,0.166667
SPC_MPOLY,0.003788,0.034091,0.011364,0.079545,0.003788,0.018939,0.079545,0.174242,0.007576,0.109848,0.170455,0.011364,0.068182,0.227273
SPC_NONE,0.002242,0.006726,0.008969,0.056054,0.008969,0.022422,0.091928,0.177130,0.017937,0.078475,0.210762,0.015695,0.096413,0.206278
TPC_MNUF,0.016129,0.032258,0.080645,0.048387,0.032258,0.048387,0.064516,0.177419,0.080645,0.048387,0.177419,0.032258,0.048387,0.112903
TPC_MPOLY,0.007246,0.050725,0.003623,0.050725,0.010870,0.003623,0.108696,0.134058,0.028986,0.112319,0.173913,0.003623,0.090580,0.221014
TPC_NONE,0.003571,0.017857,0.012500,0.058929,0.007143,0.014286,0.092857,0.189286,0.017857,0.076786,0.208929,0.008929,0.080357,0.210714
UC_MNUF,0.018182,0.018182,0.072727,0.127273,0.036364,0.036364,0.054545,0.054545,0.000000,0.127273,0.109091,0.036364,0.090909,0.218182
UC_MPOLY,0.000000,0.017794,0.014235,0.064057,0.000000,0.010676,0.110320,0.103203,0.010676,0.096085,0.181495,0.017794,0.117438,0.256228
UC_NONE,0.000000,0.020701,0.011146,0.055732,0.007962,0.012739,0.071656,0.141720,0.014331,0.105096,0.205414,0.017516,0.106688,0.229299
