counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0,1,1,1,0,1,0,2,1,1,2,2,0,2
NONE_MPOLY,0,1,0,8,0,1,7,7,0,10,12,1,6,11
SBX_MNUF,0,1,3,7,1,3,2,4,4,4,7,3,6,2
SBX_MPOLY,2,3,4,19,2,2,23,27,5,16,28,5,23,34
SBX_NONE,0,1,0,2,1,3,3,1,0,1,4,2,3,5
SPC_MNUF,3,1,1,2,1,4,4,6,4,2,8,4,5,9
SPC_MPOLY,1,9,3,21,1,5,21,46,2,29,45,3,18,60
SPC_NONE,1,3,4,25,4,10,41,79,8,35,94,7,43,92
TPC_MNUF,1,2,5,3,2,3,4,11,5,3,11,2,3,7
TPC_MPOLY,2,14,1,14,3,1,30,37,8,31,48,1,25,61
TPC_NONE,2,10,7,33,4,8,52,106,10,43,117,5,45,118
UC_MNUF,1,1,4,7,2,2,3,3,0,7,6,2,5,12
UC_MPOLY,0,5,4,18,0,3,31,29,3,27,51,5,33,72
UC_NONE,0,13,7,35,5,8,45,89,9,66,129,11,67,144
