State,Stationary_Probability
SBX_NONE,0.136959
SBX_MPOLY,0.133147
TPC_NONE,0.127052
SPC_NONE,0.116815
UC_MPOLY,0.099754
UC_NONE,0.074731
SPC_MPOLY,0.071594
TPC_MPOLY,0.071526
UC_MNUF,0.059653
TPC_MNUF,0.038699
NONE_MPOLY,0.027720
SPC_MNUF,0.026089
SBX_MNUF,0.016262
NONE_MNUF,0.000000
