Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,75,75
SPC_MSWAP,21,87
SPC_NONE,1,86
TPC_MPAR,1,70
TPC_MSWAP,0,87
TPC_NONE,1,82
UC_MPAR,1,76
UC_MSWAP,0,86
UC_NONE,0,86
NONE_MPAR,0,76
NONE_MSWAP,0,94
NONE_NONE,0,90
