GD,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.105528,0.090452,0.125628,0.105528,0.050251,0.105528,0.060302,0.005025,0.130653,0.060302,0.000000,0.115578,0.045226,0.000000
NONE_MPOLY,0.023438,0.078125,0.101562,0.191406,0.105469,0.078125,0.078125,0.000000,0.082031,0.082031,0.007812,0.066406,0.085938,0.019531
SBX_MNUF,0.076087,0.086957,0.105072,0.112319,0.079710,0.086957,0.047101,0.010870,0.134058,0.050725,0.007246,0.112319,0.079710,0.010870
SBX_MPOLY,0.064433,0.115979,0.074742,0.170103,0.082474,0.054124,0.095361,0.005155,0.067010,0.069588,0.010309,0.079897,0.100515,0.010309
SBX_NONE,0.087629,0.118557,0.097938,0.128866,0.087629,0.108247,0.046392,0.005155,0.118557,0.036082,0.000000,0.087629,0.072165,0.005155
SPC_MNUF,0.056338,0.063380,0.123239,0.102113,0.077465,0.112676,0.035211,0.003521,0.172535,0.073944,0.007042,0.105634,0.066901,0.000000
SPC_MPOLY,0.045833,0.087500,0.058333,0.141667,0.037500,0.075000,0.145833,0.004167,0.075000,0.100000,0.016667,0.050000,0.158333,0.004167
SPC_NONE,0.066667,0.066667,0.066667,0.133333,0.000000,0.066667,0.066667,0.000000,0.000000,0.066667,0.133333,0.066667,0.200000,0.066667
TPC_MNUF,0.063123,0.069767,0.142857,0.059801,0.046512,0.146179,0.073090,0.009967,0.099668,0.059801,0.000000,0.152824,0.066445,0.009967
TPC_MPOLY,0.073059,0.073059,0.041096,0.168950,0.050228,0.068493,0.109589,0.004566,0.059361,0.114155,0.027397,0.073059,0.109589,0.027397
TPC_NONE,0.058824,0.117647,0.058824,0.029412,0.058824,0.029412,0.058824,0.029412,0.058824,0.147059,0.205882,0.029412,0.088235,0.029412
UC_MNUF,0.072727,0.058182,0.098182,0.145455,0.040000,0.134545,0.054545,0.003636,0.134545,0.076364,0.007273,0.127273,0.036364,0.010909
UC_MPOLY,0.031873,0.123506,0.063745,0.127490,0.071713,0.103586,0.119522,0.000000,0.067729,0.095618,0.015936,0.047809,0.095618,0.035857
UC_NONE,0.026316,0.026316,0.052632,0.131579,0.052632,0.052632,0.289474,0.000000,0.026316,0.052632,0.000000,0.078947,0.184211,0.026316
