counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,21,18,25,21,10,21,12,1,26,12,0,23,9,0
NONE_MPOLY,6,20,26,49,27,20,20,0,21,21,2,17,22,5
SBX_MNUF,21,24,29,31,22,24,13,3,37,14,2,31,22,3
SBX_MPOLY,25,45,29,66,32,21,37,2,26,27,4,31,39,4
SBX_NONE,17,23,19,25,17,21,9,1,23,7,0,17,14,1
SPC_MNUF,16,18,35,29,22,32,10,1,49,21,2,30,19,0
SPC_MPOLY,11,21,14,34,9,18,35,1,18,24,4,12,38,1
SPC_NONE,1,1,1,2,0,1,1,0,0,1,2,1,3,1
TPC_MNUF,19,21,43,18,14,44,22,3,30,18,0,46,20,3
TPC_MPOLY,16,16,9,37,11,15,24,1,13,25,6,16,24,6
TPC_NONE,2,4,2,1,2,1,2,1,2,5,7,1,3,1
UC_MNUF,20,16,27,40,11,37,15,1,37,21,2,35,10,3
UC_MPOLY,8,31,16,32,18,26,30,0,17,24,4,12,24,9
UC_NONE,1,1,2,5,2,2,11,0,1,2,0,3,7,1
