Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,succ_cross,succ_mut,search_name
1,1,TPC,NONE,0.663603175440384,0.01681596877574144,1712495795.2,1375084270.4883204,3187827.36,1642679.9185587165,0.6773928561593556,0,0.17,0,MARKOV_CROSS
1,2,UC,MPOLY,0.6619089796095539,0.022623319785967523,1163709914.88,1003647472.0993396,2818021.28,1652258.6679717079,0.6876629203890772,0.010270064229721543,0.14,0.06,MARKOV_CROSS
1,3,UC,MPOLY,0.6669163090003868,0.022719650404604472,1032203008.0,980500475.0367718,2688002.72,1584901.231184518,0.7025017505166561,0.014838830127578917,0.15,0.055,MARKOV_CROSS
1,4,SBX,MNUF,0.6666731570839549,0.020666180277060547,910586359.04,813866457.5097221,2499164.32,1438415.939436454,0.7077484480408385,0.0052466975241823866,0.02,0.03,MARKOV_CROSS
1,5,UC,MPOLY,0.6686894632699475,0.021003449934467153,703030137.6,385426731.35377955,2216148.64,1308076.4427363677,0.7134590763223568,0.0057106282815183596,0.16,0.045,MARKOV_CROSS
1,6,UC,MNUF,0.6697248355631739,0.018970504163903463,690217126.4,387046135.0864478,2263413.92,1303312.0610624582,0.7134596505063023,5.741839455009057e-07,0.06,0.01,MARKOV_CROSS
1,7,UC,MPOLY,0.67291919260169,0.015574422363211642,641781428.48,430322156.16503483,2305291.68,1296530.5558480208,0.7136822833391566,0.00022263283285428592,0.18,0.02,MARKOV_CROSS
1,8,SBX,MNUF,0.673306406528936,0.01571714315733751,651373000.96,440002412.9061601,2330220.96,1288324.249269336,0.7137832662359782,0.00010098289682158867,0.0,0.055,MARKOV_CROSS
1,9,UC,MPOLY,0.6729867742445163,0.019397390598172536,615184679.68,450926462.37397087,2068464.8,1215040.3204550543,0.7161678860067338,0.002384619770755547,0.09,0.075,MARKOV_CROSS
1,10,SPC,NONE,0.6738544701408807,0.02547228582519301,672398978.56,540619367.7550298,1825670.56,1126346.455869919,0.7176528747469887,0.0014849887402549333,0.08,0,MARKOV_CROSS
1,11,SPC,MNUF,0.6727661320571297,0.026213501065535355,659013377.28,541473092.692881,1793834.4,1134544.966732725,0.7198612168384582,0.002208342091469473,0.1,0.0,MARKOV_CROSS
1,12,TPC,NONE,0.6755342484389919,0.02773617301542519,721154008.32,587785902.6823506,1758395.04,1231293.353889396,0.7235290549859125,0.0036678381474543054,0.08,0,MARKOV_CROSS
1,13,TPC,MPOLY,0.6726508289369094,0.025298526462365845,577797189.12,528588297.05188686,1543215.52,1174807.442551199,0.7263206137688458,0.0027915587829333566,0.05,0.01,MARKOV_CROSS
1,14,SBX,NONE,0.6729174175421473,0.024774872225008158,480258798.08,382273819.17776203,1465349.28,1082160.9863898633,0.7263571806086364,3.656683979058606e-05,0.01,0,MARKOV_CROSS
1,15,SPC,NONE,0.6747585546639785,0.0271141643890987,505716890.88,423495137.3016824,1505762.72,1191336.5601254252,0.7292559700910272,0.002898789482390751,0.04,0,MARKOV_CROSS
1,16,UC,MPOLY,0.6793587860993594,0.025792008175279435,537005888.0,442862108.49348277,1643159.2,1214287.4860594755,0.7296968026296753,0.0004408325386481282,0.04,0.015,MARKOV_CROSS
1,17,TPC,NONE,0.6806496414456887,0.02680792574624043,591755718.4,549974740.7128586,1634574.24,1207200.4887145893,0.7300342043957361,0.0003374017660607853,0.05,0,MARKOV_CROSS
1,18,TPC,MPOLY,0.6797054854136129,0.028111125535411313,584353779.2,552201938.2185531,1648375.2,1229985.8988688937,0.7304987361452983,0.00046453174956218035,0.05,0.01,MARKOV_CROSS
1,19,TPC,MPOLY,0.6821923293006426,0.026817725671390926,610987006.72,614917133.2083788,1744115.36,1348309.6429001426,0.7313109961368901,0.000812259991591846,0.02,0.025,MARKOV_CROSS
1,20,SBX,NONE,0.6848162352522231,0.02474211055428648,725048906.24,797281028.3292165,1915353.76,1461648.6826327394,0.7313447730884848,3.377695159467731e-05,0.01,0,MARKOV_CROSS
1,21,SPC,NONE,0.6824244610150652,0.0250714976739972,548868401.92,688993049.7285386,1694044.32,1277032.1865845893,0.733488251996203,0.002143478907718266,0.04,0,MARKOV_CROSS
1,22,TPC,MPOLY,0.6812139321313145,0.026696074465425636,540237859.84,690504380.7928809,1703961.76,1325173.187235941,0.733501424156112,1.3172159908925174e-05,0.03,0.025,MARKOV_CROSS
1,23,SBX,NONE,0.6849127366558249,0.02725707291660602,606195678.72,703670505.0062726,1976322.72,1405939.0834797788,0.7335090810163173,7.656860205318416e-06,0.0,0,MARKOV_CROSS
1,24,UC,MNUF,0.6855115833057074,0.026909135164576693,612819635.2,702405424.4638517,1990484.64,1396367.9309494013,0.7334435016731908,-6.557934312645397e-05,0.06,0.005,MARKOV_CROSS
1,25,TPC,MPOLY,0.684221201567124,0.02777975174215725,608926709.76,712959647.6664617,1943465.12,1430340.3496016557,0.7351711987464629,0.0017276970732720276,0.03,0.02,MARKOV_CROSS
1,26,SBX,NONE,0.6847495102686106,0.02840094240402302,657237795.84,732750951.7132668,1993066.4,1459076.3188426301,0.7351977219176016,2.652317113871483e-05,0.0,0,MARKOV_CROSS
1,27,UC,MNUF,0.6847495102686106,0.02840094240402302,657237795.84,732750951.7132668,1993066.4,1459076.3188426301,0.7351278849631547,-6.983695444684468e-05,0.03,0.0,MARKOV_CROSS
1,28,SPC,MNUF,0.6847495102686106,0.02840094240402302,657237795.84,732750951.7132668,1993066.4,1459076.3188426301,0.7351278849631547,0.0,0.05,0.0,MARKOV_CROSS
1,29,TPC,NONE,0.685944015417989,0.02786410941517213,604350410.24,571556576.0368718,2037234.08,1518722.1175700026,0.7354178291470606,0.00028994418390582144,0.02,0,MARKOV_CROSS
1,30,SPC,MNUF,0.685944015417989,0.02786410941517213,604350410.24,571556576.0368718,2037234.08,1518722.1175700026,0.735411308993803,-6.520153257527639e-06,0.03,0.0,MARKOV_CROSS
1,31,TPC,MNUF,0.685944015417989,0.02786410941517213,604350410.24,571556576.0368718,2037234.08,1518722.1175700026,0.735411308993803,0.0,0.05,0.0,MARKOV_CROSS
1,32,TPC,MNUF,0.685944015417989,0.02786410941517213,604350410.24,571556576.0368718,2037234.08,1518722.1175700026,0.735411308993803,0.0,0.02,0.0,MARKOV_CROSS
1,33,TPC,MNUF,0.685944015417989,0.02786410941517213,604350410.24,571556576.0368718,2037234.08,1518722.1175700026,0.735411308993803,0.0,0.08,0.0,MARKOV_CROSS
1,34,UC,MNUF,0.6859769583257963,0.027818977469162447,604339924.48,571565080.995481,2036906.4,1519048.390313462,0.7354153944600843,4.0854662812783715e-06,0.0,0.0,MARKOV_CROSS
1,35,TPC,MPOLY,0.6866237961702101,0.027310043221647245,628336573.44,608124842.8704892,2060352.16,1531161.3020566495,0.7354735506368516,5.8156176767298895e-05,0.05,0.02,MARKOV_CROSS
1,36,UC,MPOLY,0.6865298178946291,0.02528263358439934,592262671.36,597462041.4657509,1990236.32,1520719.824040358,0.7358839733203592,0.00041042268350754973,0.04,0.025,MARKOV_CROSS
1,37,TPC,MPOLY,0.6857700166827534,0.025760051944657546,582971189.76,597242949.6447316,1966346.4,1534321.2563836563,0.73590461516801,2.0641847650826328e-05,0.04,0.01,MARKOV_CROSS
1,38,TPC,MNUF,0.6857700166827534,0.025760051944657546,582971189.76,597242949.6447316,1966346.4,1534321.2563836563,0.7359045375028224,-7.766518761442853e-08,0.04,0.0,MARKOV_CROSS
1,39,UC,MNUF,0.6845238280930522,0.027179078344949734,562307349.76,576068913.5281228,1915201.44,1504594.9632370325,0.7360356166320394,0.0001310791292170599,0.03,0.0,MARKOV_CROSS
1,40,TPC,NONE,0.6860523299858424,0.02622408662948409,525876648.96,505547333.97860986,1765331.36,1361254.2420467052,0.7366557927359774,0.0006201761039379416,0.04,0,MARKOV_CROSS
1,41,TPC,MPOLY,0.6865824902265877,0.02784215514556893,542480992.0,521248691.94146657,1848667.04,1405350.7662752524,0.7371375975519535,0.0004818048159761501,0.02,0.01,MARKOV_CROSS
1,42,UC,MNUF,0.6865824902265877,0.02784215514556893,542480992.0,521248691.94146657,1848667.04,1405350.7662752524,0.7371375975519535,0.0,0.01,0.0,MARKOV_CROSS
1,43,TPC,MPOLY,0.6890224994047044,0.02349940140483563,541222394.88,519401665.00373954,1928169.12,1387139.9960722728,0.7373069289001323,0.0001693313481787584,0.01,0.02,MARKOV_CROSS
1,44,SPC,NONE,0.6916823008270522,0.023214109909034743,623307671.04,598939497.5227537,2071593.12,1481961.2647260749,0.7373773091132839,7.0380213151644e-05,0.02,0,MARKOV_CROSS
1,45,TPC,NONE,0.6904918408694484,0.025160180104495226,651770311.68,626484941.0184044,2055184.8,1489947.5672913592,0.7374267225831025,4.941346981857109e-05,0.0,0,MARKOV_CROSS
1,46,SPC,MNUF,0.6904918408694484,0.025160180104495226,651770311.68,626484941.0184044,2055184.8,1489947.5672913592,0.7374143812496492,-1.2341333453291803e-05,0.01,0.0,MARKOV_CROSS
1,47,TPC,MPOLY,0.6885200324595669,0.026247018736313583,605566348.8,612686579.9281826,1927978.4,1438972.5026394075,0.7383480303740961,0.0009336491244469336,0.01,0.005,MARKOV_CROSS
1,48,TPC,MNUF,0.6885200324595669,0.026247018736313583,605566348.8,612686579.9281826,1927978.4,1438972.5026394075,0.7383480217250954,-8.64900073782593e-09,0.01,0.0,MARKOV_CROSS
1,49,TPC,MNUF,0.6885200324595669,0.026247018736313583,605566348.8,612686579.9281826,1927978.4,1438972.5026394075,0.7383480217250954,0.0,0.01,0.0,MARKOV_CROSS
1,50,SPC,MPOLY,0.6878589447938027,0.028004039550343796,630196728.32,626646038.5904065,1975960.48,1538891.2117471881,0.738380555419624,3.253369452860255e-05,0.01,0.005,MARKOV_CROSS
1,51,SPC,MPOLY,0.6875939028012202,0.027969927766445468,617940328.96,627042851.5584539,1964466.08,1542825.3328260311,0.7383752504941441,-5.304925479898692e-06,0.01,0.015,MARKOV_CROSS
1,52,SBX,MPOLY,0.6884559338522211,0.027655281546344525,612294589.44,609488847.7853732,2001505.44,1572425.6139568852,0.7383825301791244,7.279684980265877e-06,0.0,0.055,MARKOV_CROSS
1,53,SPC,NONE,0.6887262296050907,0.02987506672232747,696543641.6,651398355.1312313,2100030.88,1654678.2086277516,0.7385054934068496,0.00012296322772520352,0.01,0,MARKOV_CROSS
1,54,SBX,MNUF,0.6883285241616197,0.030393565882990293,696306887.68,651600660.0619543,2094750.88,1659677.3729976395,0.7384522265726712,-5.326683417838929e-05,0.0,0.075,MARKOV_CROSS
1,55,UC,MPOLY,0.6919450497384685,0.027374201643293926,732580513.28,650656652.7612526,2224417.44,1687093.2525961238,0.7384814143028431,2.918773017190901e-05,0.04,0.005,MARKOV_CROSS
1,56,SPC,NONE,0.6902218715565196,0.02899349792724378,734219417.6,660349826.4770931,2237257.12,1745514.0588294398,0.7385855075096058,0.00010409320676274536,0.01,0,MARKOV_CROSS
1,57,SBX,MNUF,0.6902218715565196,0.02899349792724378,734219417.6,660349826.4770931,2237257.12,1745514.0588294398,0.7385334012396833,-5.2106269922580495e-05,0.0,0.065,MARKOV_CROSS
1,58,TPC,NONE,0.6906311964545199,0.027649355097052502,683443266.56,621256667.7170897,2097545.12,1594365.33562218,0.7386535141210638,0.00012011288138058518,0.02,0,MARKOV_CROSS
1,59,UC,MNUF,0.6906311964545199,0.027649355097052502,683443266.56,621256667.7170897,2097545.12,1594365.33562218,0.7386390107618142,-1.45033592496846e-05,0.0,0.0,MARKOV_CROSS
1,60,TPC,MPOLY,0.6909850474771596,0.026727229867573737,681864668.16,621753461.7774704,2084079.52,1582796.8516628055,0.7386498471239302,1.0836362116073417e-05,0.02,0.01,MARKOV_CROSS
1,61,SBX,NONE,0.6910253120512446,0.02724177138833551,670573647.36,600544794.2855974,2019786.4,1454619.3458886766,0.7386925776577318,4.273053380154934e-05,0.01,0,MARKOV_CROSS
1,62,UC,MNUF,0.6910308231804017,0.027231122209872734,670579033.6,600539922.6916782,2020074.4,1454275.558610266,0.7386757085078143,-1.6869149917497772e-05,0.03,0.0,MARKOV_CROSS
1,63,UC,NONE,0.6903873479409465,0.027443702701181735,679552993.28,644201741.6194022,1971539.36,1451716.8020833503,0.738764132676122,8.842416830767696e-05,0.0,0,MARKOV_CROSS
1,64,SPC,NONE,0.6917404139049664,0.027685060094932722,688754068.48,628416904.8185594,2092679.84,1468799.8523766727,0.7387333632526374,-3.0769423484566794e-05,0.0,0,MARKOV_CROSS
1,65,SPC,MPOLY,0.6903589224974422,0.02747776320613554,615352491.52,574737626.9251384,1992628.64,1450490.109147798,0.7387472816447518,1.391839211439816e-05,0.0,0.005,MARKOV_CROSS
1,66,SPC,MNUF,0.6903589224974422,0.02747776320613554,615352491.52,574737626.9251384,1992628.64,1450490.109147798,0.7387424031880883,-4.878456663526265e-06,0.0,0.0,MARKOV_CROSS
1,67,SPC,MPOLY,0.6902571886449499,0.02728981919177195,606664599.04,587228392.57352,1986220.96,1477146.917051665,0.7392557211102924,0.000513317922204104,0.02,0.0,MARKOV_CROSS
1,68,TPC,MPOLY,0.6908714331835523,0.026810072899721097,609524674.56,585458996.710428,2010194.08,1466836.4702533933,0.7392628411778751,7.120067582744305e-06,0.01,0.005,MARKOV_CROSS
1,69,SBX,NONE,0.6903767833613681,0.028254552030358333,668733457.92,640641132.9000604,2039416.48,1569593.6158762397,0.7392635783944255,7.372165503616301e-07,0.0,0,MARKOV_CROSS
1,70,UC,MNUF,0.6903767833613681,0.028254552030358333,668733457.92,640641132.9000604,2039416.48,1569593.6158762397,0.7392482300321327,-1.5348362292777473e-05,0.0,0.01,MARKOV_CROSS
1,71,SPC,NONE,0.6906521689760902,0.02861840809438672,693998440.96,657703025.6943002,2062976.16,1518261.6521151725,0.739326104644934,7.787461280128749e-05,0.0,0,MARKOV_CROSS
1,72,UC,MNUF,0.6906521689760902,0.02861840809438672,693998440.96,657703025.6943002,2062976.16,1518261.6521151725,0.7392622922403933,-6.381240454067516e-05,0.01,0.005,MARKOV_CROSS
1,73,UC,NONE,0.6902961977965694,0.028614129508595897,686309911.04,640052247.6240602,2004475.04,1455352.6176212416,0.7393825612259977,0.00012026898560435484,0.0,0,MARKOV_CROSS
1,74,UC,NONE,0.6919646208743988,0.028261746849027464,749238479.36,674578508.6904145,2081235.36,1482108.9397427943,0.7394667668232189,8.420559722122078e-05,0.0,0,MARKOV_CROSS
1,75,UC,NONE,0.6910756805354956,0.02865521781172128,740294707.2,676947093.8804156,2058128.8,1490322.1774035299,0.7394667445932005,-2.2230018381641514e-08,0.0,0,MARKOV_CROSS
1,76,UC,MNUF,0.6906676044825262,0.02865430919156134,735006049.28,678532154.4276226,2042020.0,1493736.3126827974,0.73939739818852,-6.934640468048148e-05,0.0,0.0,MARKOV_CROSS
1,77,TPC,NONE,0.691415600279309,0.02872226287755387,775326161.92,703404345.1380723,2064971.68,1497043.5009195085,0.7394498133262668,5.24151377467863e-05,0.02,0,MARKOV_CROSS
1,78,TPC,NONE,0.6916492638123425,0.028510768229427517,801073576.96,702759705.1129903,2051904.16,1504090.288553069,0.7394630358369166,1.322251064983515e-05,0.0,0,MARKOV_CROSS
1,79,SPC,NONE,0.690368671194662,0.028464547347027313,721440675.84,698701695.7023752,1973947.04,1468089.3724743733,0.7395837619631621,0.00012072612624547396,0.01,0,MARKOV_CROSS
1,80,SBX,MNUF,0.6902164424664491,0.028447039035915254,720645155.84,699174442.4668422,1957904.8,1470687.9175891536,0.7395847447760894,9.828129272637653e-07,0.0,0.075,MARKOV_CROSS
1,81,TPC,NONE,0.6927807313749349,0.028871631932062065,787717457.92,719743907.3481424,2179517.6,1521008.3015801853,0.7396357887883187,5.104401222932875e-05,0.0,0,MARKOV_CROSS
1,82,TPC,MNUF,0.6930333183132084,0.028672414926584715,775255861.76,706249734.8084792,2191022.24,1512614.427748335,0.7396117660644435,-2.402272387524995e-05,0.03,0.0,MARKOV_CROSS
1,83,SPC,MNUF,0.692368908264738,0.028823626908233268,760333058.56,704396961.1632302,2162364.32,1525697.5381249515,0.7396136946205532,1.9285561096982207e-06,0.0,0.0,MARKOV_CROSS
1,84,SPC,NONE,0.6923644769899737,0.02896574687152897,758398484.48,698976132.4437262,2156516.0,1549931.1894746297,0.7396800868911221,6.639227056892683e-05,0.0,0,MARKOV_CROSS
