Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,82,82
SPC_MSWAP,4,82
SPC_NONE,5,85
TPC_MPAR,3,92
TPC_MSWAP,3,90
TPC_NONE,1,86
UC_MPAR,0,83
UC_MSWAP,2,88
UC_NONE,0,83
NONE_MPAR,0,85
NONE_MSWAP,0,87
NONE_NONE,0,86
