GO_Name,Mean_Stationary_Probability
SPC_MNUF,0.163453
SPC_NONE,0.145429
SPC_MPOLY,0.183130
TPC_MNUF,0.120291
TPC_MPOLY,0.135411
TPC_NONE,0.109515
UC_MPOLY,0.050879
UC_MNUF,0.049794
UC_NONE,0.042099
SBX_MNUF,0.000000
SBX_MPOLY,0.000000
SBX_NONE,0.000000
