State,Stationary_Probability
SPC_MNUF,0.243349
SPC_NONE,0.202896
TPC_MPOLY,0.152887
SPC_MPOLY,0.110277
TPC_NONE,0.100247
TPC_MNUF,0.070168
UC_MNUF,0.060148
UC_NONE,0.039745
UC_MPOLY,0.020284
SBX_MNUF,0.000000
SBX_MPOLY,0.000000
SBX_NONE,0.000000
