CROSS,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SPC_MNUF,0.179280,0.186725,0.165012,0.105459,0.130893,0.091191,0.058313,0.048387,0.034739
SPC_MPOLY,0.191607,0.211485,0.144119,0.112093,0.117062,0.103258,0.041966,0.043070,0.035340
SPC_NONE,0.169102,0.199026,0.159360,0.114823,0.121781,0.114127,0.035491,0.038970,0.047321
TPC_MNUF,0.139379,0.172124,0.133501,0.131822,0.138539,0.120067,0.058774,0.057095,0.048699
TPC_MPOLY,0.172876,0.152012,0.139344,0.136364,0.136364,0.105812,0.055887,0.057377,0.043964
TPC_NONE,0.135531,0.195055,0.133700,0.128205,0.141026,0.118132,0.049451,0.056777,0.042125
UC_MNUF,0.120724,0.158954,0.152918,0.124748,0.169014,0.134809,0.040241,0.056338,0.042254
UC_MPOLY,0.134000,0.164000,0.122000,0.122000,0.152000,0.124000,0.062000,0.062000,0.058000
UC_NONE,0.153110,0.141148,0.136364,0.117225,0.191388,0.114833,0.052632,0.059809,0.033493
