GD,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.270364,0.015598,0.164645,0.015598,0.019064,0.162912,0.003466,0.000000,0.162912,0.013865,0.000000,0.155979,0.008666,0.006932
NONE_MPOLY,0.102564,0.038462,0.166667,0.115385,0.051282,0.128205,0.025641,0.000000,0.128205,0.012821,0.025641,0.141026,0.064103,0.000000
SBX_MNUF,0.183884,0.028926,0.173554,0.024793,0.043388,0.154959,0.014463,0.004132,0.150826,0.018595,0.004132,0.173554,0.014463,0.010331
SBX_MPOLY,0.155172,0.086207,0.224138,0.017241,0.137931,0.137931,0.034483,0.017241,0.086207,0.017241,0.000000,0.051724,0.034483,0.000000
SBX_NONE,0.047458,0.016949,0.084746,0.023729,0.616949,0.057627,0.020339,0.010169,0.047458,0.023729,0.003390,0.037288,0.006780,0.003390
SPC_MNUF,0.160633,0.038462,0.158371,0.015837,0.040724,0.165158,0.015837,0.006787,0.171946,0.011312,0.002262,0.190045,0.020362,0.002262
SPC_MPOLY,0.046512,0.093023,0.069767,0.046512,0.162791,0.093023,0.046512,0.046512,0.069767,0.093023,0.000000,0.186047,0.023256,0.023256
SPC_NONE,0.076923,0.076923,0.153846,0.076923,0.153846,0.230769,0.000000,0.000000,0.000000,0.000000,0.076923,0.153846,0.000000,0.000000
TPC_MNUF,0.242630,0.018141,0.163265,0.004535,0.024943,0.158730,0.006803,0.000000,0.217687,0.006803,0.000000,0.156463,0.000000,0.000000
TPC_MPOLY,0.068182,0.022727,0.136364,0.113636,0.045455,0.181818,0.068182,0.022727,0.136364,0.068182,0.045455,0.045455,0.022727,0.022727
TPC_NONE,0.111111,0.222222,0.000000,0.000000,0.222222,0.000000,0.000000,0.000000,0.222222,0.000000,0.000000,0.222222,0.000000,0.000000
UC_MNUF,0.209567,0.018223,0.211845,0.011390,0.047836,0.161731,0.015945,0.002278,0.129841,0.009112,0.004556,0.166287,0.011390,0.000000
UC_MPOLY,0.000000,0.088235,0.264706,0.058824,0.176471,0.176471,0.088235,0.000000,0.088235,0.029412,0.000000,0.000000,0.029412,0.000000
UC_NONE,0.076923,0.076923,0.307692,0.076923,0.153846,0.153846,0.076923,0.000000,0.000000,0.000000,0.000000,0.000000,0.076923,0.000000
