counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,156,9,95,9,11,94,2,0,94,8,0,90,5,4
NONE_MPOLY,8,3,13,9,4,10,2,0,10,1,2,11,5,0
SBX_MNUF,89,14,84,12,21,75,7,2,73,9,2,84,7,5
SBX_MPOLY,9,5,13,1,8,8,2,1,5,1,0,3,2,0
SBX_NONE,14,5,25,7,182,17,6,3,14,7,1,11,2,1
SPC_MNUF,71,17,70,7,18,73,7,3,76,5,1,84,9,1
SPC_MPOLY,2,4,3,2,7,4,2,2,3,4,0,8,1,1
SPC_NONE,1,1,2,1,2,3,0,0,0,0,1,2,0,0
TPC_MNUF,107,8,72,2,11,70,3,0,96,3,0,69,0,0
TPC_MPOLY,3,1,6,5,2,8,3,1,6,3,2,2,1,1
TPC_NONE,1,2,0,0,2,0,0,0,2,0,0,2,0,0
UC_MNUF,92,8,93,5,21,71,7,1,57,4,2,73,5,0
UC_MPOLY,0,3,9,2,6,6,3,0,3,1,0,0,1,0
UC_NONE,1,1,4,1,2,2,1,0,0,0,0,0,1,0
