Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,81,81
SPC_MSWAP,11,80
SPC_NONE,5,84
TPC_MPAR,2,80
TPC_MSWAP,1,81
TPC_NONE,0,83
UC_MPAR,0,84
UC_MSWAP,0,86
UC_NONE,0,84
NONE_MPAR,0,94
NONE_MSWAP,0,92
NONE_NONE,0,94
