ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover type,Mutation type,Search strategy,Epochs,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Was_invalid
NYMP-SOGL(1),1,1,1,TRUE,FALSE,"[1, 2, 1, 1, 0, 0, 1, 3, 0, 1, 2, 0, 1, 2, 1, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.651600003,1.07902503,861689118,36.2878437,17608234,NYMP,SOGL,"[1, 2, 1, 1, 2, 1, 1, 3, 0, 1, 3, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 0, 1, 3, 0, 1, 2, 0, 2, -1, 0, 1, 2, 1, 5, 1, 0, 5, 0, 3]",NONE,6,9,-1,1,0,FALSE
NYMP-SOGL(2),1,1,1,TRUE,FALSE,"[1, 0, 0, 1, 2, 1, 1, 3, 0, 1, 3, 1, 1, 1, 0, 1, 2, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'CONV': [64, 3]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.641200006,1.207660794,2463384926,59.96592283,19168330,NYMP,SOGL,"[1, 2, 1, 1, 2, 1, 1, 3, 0, 1, 3, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 0, 1, 3, 0, 1, 2, 0, 2, -1, 0, 1, 2, 1, 5, 1, 0, 5, 0, 3]",NONE,6,6,-1,1,0,FALSE
UMOU-OPHI(1)[M],1,1,1,TRUE,TRUE,"[1, 0, 1, 1, 0, 1, 1, 3, 0, 1, 0, 1, 1, 0, 0, 1, 3, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.632000029,1.100306153,600476318,47.36085033,67632874,NONE,NONE,NONE,NONE,"[1, 0, 1, 1, 0, 1, 1, 3, 1, 1, 0, 1, 1, 0, 0, 1, 3, 1, 5, 2, 0, 5, 0, 3]",-1,-1,1,1,0,FALSE
UMOU-OPHI(2)[M],1,1,1,TRUE,TRUE,"[1, 1, 1, 1, 2, 0, 1, 2, 0, 2, -1, 1, 1, 0, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.699800014,0.865610838,241910190,20.51684475,367018,NONE,NONE,NONE,NONE,"[1, 1, 1, 1, 2, 0, 1, 2, 1, 2, -1, 1, 1, 0, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]",-1,-1,1,1,1,FALSE
OPHI-SOGL(1)[M],1,1,1,TRUE,TRUE,"[1, 1, 1, 1, 2, 0, 1, 3, 0, 1, 2, 0, 1, 0, 0, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.696099997,0.881253302,722877854,31.0660398,1116842,NONE,NONE,NONE,NONE,"[1, 1, 1, 1, 2, 0, 1, 3, 0, 1, 2, 0, 1, 0, 0, 2, -1, 1, 5, 1, 0, 5, 0, 3]",-1,-1,0,1,1,FALSE
OPHI-SOGL(2)[M],1,1,1,TRUE,TRUE,"[1, 0, 0, 1, 0, 0, 2, -1, 0, 1, 0, 1, 2, -1, 0, 1, 2, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.753400028,0.777365744,21396126,17.31416416,2172746,NONE,NONE,NONE,NONE,"[1, 0, 0, 1, 0, 0, 2, -1, 0, 1, 0, 1, 2, -1, 0, 1, 2, 1, 5, 1, 0, 5, 0, 3]",-1,-1,2,1,2,FALSE
NYMP-SOGL(1)[M],1,1,1,TRUE,TRUE,"[1, 2, 1, 1, 0, 1, 1, 3, 0, 1, 2, 0, 1, 2, 1, 2, -1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.657599986,1.044681668,916211038,35.97981524,5086634,NONE,NONE,NONE,NONE,"[1, 2, 1, 1, 0, 0, 1, 3, 0, 1, 2, 0, 1, 2, 1, 2, -1, 0, 5, 3, 0, 5, 0, 3]",-1,-1,2,1,2,FALSE
NYMP-SOGL(2)[M],1,1,1,TRUE,TRUE,"[1, 0, 0, 1, 2, 1, 1, 3, 0, 1, 3, 0, 1, 1, 0, 1, 2, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.628099978,1.456156969,1389643102,45.6450398,18119754,NONE,NONE,NONE,NONE,"[1, 0, 0, 1, 2, 1, 1, 3, 0, 1, 3, 1, 1, 1, 0, 1, 2, 1, 5, 1, 0, 5, 0, 3]",-1,-1,1,1,3,FALSE
NYMP-SOGL(1)[M],1,1,2,FALSE,FALSE,"[1, 2, 1, 1, 0, 1, 1, 3, 0, 1, 2, 0, 1, 2, 1, 2, -1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.657599986,1.044681668,916211038,35.97981524,5086634,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,FALSE
UMOU-OPHI(2)[M],1,1,2,FALSE,FALSE,"[1, 1, 1, 1, 2, 0, 1, 2, 0, 2, -1, 1, 1, 0, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.699800014,0.865610838,241910190,20.51684475,367018,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,FALSE
