counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SPC_MPOLY,TPC_MPOLY,UC_MPOLY
NONE_MNUF,0,0,0,0,0,1,0
NONE_MPOLY,0,10,19,88,0,3,3
SBX_MNUF,0,12,119,342,6,5,5
SBX_MPOLY,0,84,341,1691,36,37,31
SPC_MPOLY,0,3,4,35,2,2,1
TPC_MPOLY,0,1,2,45,0,0,1
UC_MPOLY,0,0,4,36,0,1,0
