MUT,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SPC_MPOLY,TPC_MPOLY,UC_MPOLY
NONE_MNUF,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
NONE_MPOLY,0.000000,0.081301,0.154472,0.715447,0.000000,0.024390,0.024390
SBX_MNUF,0.000000,0.024540,0.243354,0.699387,0.012270,0.010225,0.010225
SBX_MPOLY,0.000000,0.037838,0.153604,0.761712,0.016216,0.016667,0.013964
SPC_MPOLY,0.000000,0.063830,0.085106,0.744681,0.042553,0.042553,0.021277
TPC_MPOLY,0.000000,0.020408,0.040816,0.918367,0.000000,0.000000,0.020408
UC_MPOLY,0.000000,0.000000,0.097561,0.878049,0.000000,0.024390,0.000000
