Execution,HD_P1,HD_P2,HD_BM,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT
1,-1.0,-1.0,-1.0,0.1075,0.0,0.95
2,-1.0,-1.0,-1.0,0.0975,0.0,0.75
3,-1.0,-1.0,-1.0,0.16,0.0,0.85
4,-1.0,-1.0,-1.0,0.1075,0.0,0.25
5,-1.0,-1.0,-1.0,0.15,0.0,0.95
6,-1.0,-1.0,-1.0,0.125,0.0,0.1
7,-1.0,-1.0,-1.0,0.1225,0.0,0.55
8,-1.0,-1.0,-1.0,0.095,0.0,0.55
9,-1.0,-1.0,-1.0,0.145,0.0,0.65
10,-1.0,-1.0,-1.0,0.12,0.0,0.25
11,-1.0,-1.0,-1.0,0.125,0.0,0.8
12,-1.0,-1.0,-1.0,0.075,0.0,0.05
13,-1.0,-1.0,-1.0,0.13,0.0,0.2
14,-1.0,-1.0,-1.0,0.155,0.0,0.65
15,-1.0,-1.0,-1.0,0.1375,0.0,0.8
16,-1.0,-1.0,-1.0,0.1225,0.0,0.7
17,-1.0,-1.0,-1.0,0.215,0.0,0.4
18,-1.0,-1.0,-1.0,0.08,0.0,0.25
19,-1.0,-1.0,-1.0,0.1175,0.0,0.15
20,-1.0,-1.0,-1.0,0.1475,0.0,0.9
21,-1.0,-1.0,-1.0,0.16,0.0,0.65
22,-1.0,-1.0,-1.0,0.145,0.0,0.15
23,-1.0,-1.0,-1.0,0.15,0.0,0.95
24,-1.0,-1.0,-1.0,0.125,0.0,0.75
25,-1.0,-1.0,-1.0,0.16,0.0,0.05
26,-1.0,-1.0,-1.0,0.13,0.0,0.6
27,-1.0,-1.0,-1.0,0.11,0.0,0.75
28,-1.0,-1.0,-1.0,0.05,0.0,0.7
29,-1.0,-1.0,-1.0,0.1125,0.0,0.8
30,-1.0,-1.0,-1.0,0.0975,0.0,0.6
Mean,-1.0,-1.0,-1.0,0.12583333333333332,0.0,0.5583333333333333
Std,0.0,0.0,0.0,0.031126980079810004,0.0,0.2895638482653216
